Iteration,Proportion Test,Proportion Test (Sim Results Dual1.Csv),Proportion Test (Sim Results Dual2.Csv),Proportion Test (Sim Results Dual3.Csv),Proportion Test (Sim Results Dual4.Csv)
5017,0.3168,0.3599,0.4025,0.4643,0.4759
5018,0.3133,0.3678,0.4126,0.455,0.4676
5019,0.3174,0.3748,0.4164,0.4437,0.4709
5020,0.3136,0.3696,0.3892,0.4495,0.5067
5021,0.3214,0.3512,0.4335,0.4542,0.4936
5022,0.3077,0.3754,0.4173,0.4542,0.4792
5023,0.325,0.3825,0.4048,0.4319,0.4973
5024,0.326,0.3694,0.4003,0.4603,0.471
5025,0.3206,0.3654,0.4094,0.4535,0.4991
5026,0.3144,0.3842,0.4147,0.4351,0.4726
5027,0.3203,0.3652,0.4181,0.4666,0.4838
5028,0.3173,0.3706,0.4228,0.471,0.4757
5029,0.318,0.3887,0.4182,0.4381,0.4928
5030,0.3238,0.3748,0.4214,0.4496,0.4866
5031,0.3231,0.3538,0.4092,0.4647,0.4757
5032,0.3174,0.3803,0.403,0.4503,0.4926
5033,0.3171,0.3774,0.4206,0.4569,0.4919
5034,0.3181,0.381,0.4,0.4411,0.4857
5035,0.3191,0.3844,0.4226,0.4476,0.4662
5036,0.3032,0.373,0.3941,0.4429,0.4841
5037,0.3098,0.3791,0.4032,0.4643,0.4646
5038,0.3196,0.3605,0.4098,0.4388,0.4678
5039,0.3177,0.3704,0.4167,0.4449,0.4847
5040,0.3071,0.3839,0.4338,0.4527,0.4955
5041,0.3085,0.3723,0.4219,0.4617,0.4741
5042,0.3205,0.3622,0.418,0.4566,0.5019
5043,0.3131,0.3734,0.408,0.4511,0.4732
5044,0.3209,0.3527,0.4239,0.4719,0.4677
5045,0.3195,0.3644,0.4119,0.4488,0.4673
5046,0.3131,0.382,0.3948,0.4268,0.4896
5047,0.3269,0.3662,0.4393,0.4502,0.4671
5048,0.3165,0.3888,0.416,0.4322,0.4717
5049,0.3074,0.3802,0.3838,0.4432,0.4911
5050,0.3131,0.3737,0.4283,0.4674,0.4907
5051,0.3177,0.3635,0.3981,0.4447,0.4783
5052,0.3228,0.3663,0.3951,0.4628,0.4964
5053,0.3211,0.367,0.4,0.4488,0.4801
5054,0.3097,0.377,0.4485,0.4489,0.4686
5055,0.3156,0.3832,0.4028,0.4663,0.4689
5056,0.3161,0.3719,0.4142,0.4513,0.4928
5057,0.3048,0.3601,0.3932,0.4679,0.4738
5058,0.3068,0.3734,0.4175,0.4696,0.4738
5059,0.3173,0.3816,0.4083,0.4586,0.5115
5060,0.3153,0.3729,0.4103,0.4431,0.4946
5061,0.3188,0.3711,0.4322,0.454,0.4728
5062,0.3151,0.3403,0.3975,0.4657,0.4935
5063,0.3087,0.3523,0.4169,0.4363,0.4899
5064,0.3087,0.3807,0.3936,0.4364,0.4722
5065,0.3197,0.3769,0.387,0.4424,0.4752
5066,0.3111,0.3626,0.4042,0.4419,0.4776
5067,0.3222,0.371,0.4162,0.4334,0.4879
5068,0.3128,0.3488,0.4172,0.4346,0.4712
5069,0.3192,0.3464,0.4265,0.4613,0.5073
5070,0.3108,0.3584,0.3957,0.4492,0.4775
5071,0.3105,0.3644,0.4255,0.4496,0.4647
5072,0.311,0.3687,0.4142,0.4689,0.4947
5073,0.317,0.3681,0.4126,0.4669,0.4691
5074,0.3208,0.3696,0.4321,0.4633,0.4755
5075,0.3113,0.3564,0.4014,0.4399,0.4727
5076,0.3213,0.3538,0.3961,0.4588,0.478
5077,0.3128,0.3586,0.4288,0.4375,0.4907
5078,0.3188,0.3542,0.417,0.4216,0.4875
5079,0.3193,0.3847,0.406,0.4642,0.4713
5080,0.3133,0.3654,0.3904,0.4537,0.4922
5081,0.315,0.3566,0.4111,0.4626,0.4595
5082,0.3173,0.3764,0.4161,0.4384,0.4796
5083,0.321,0.3442,0.4294,0.4817,0.473
5084,0.32,0.3934,0.4087,0.4578,0.4559
5085,0.3198,0.361,0.3974,0.4413,0.4717
5086,0.3186,0.3551,0.4347,0.4305,0.4956
5087,0.3125,0.3782,0.4102,0.4224,0.504
5088,0.3218,0.3546,0.417,0.4547,0.4841
5089,0.3253,0.3596,0.423,0.4263,0.4838
5090,0.3149,0.3834,0.418,0.4439,0.4852
5091,0.3155,0.3505,0.3963,0.4711,0.4762
5092,0.3175,0.3682,0.4124,0.4759,0.4817
5093,0.3189,0.3773,0.4384,0.4515,0.4742
5094,0.3084,0.3288,0.4023,0.4479,0.4714
5095,0.32,0.3811,0.4206,0.4408,0.4867
5096,0.3095,0.3575,0.4026,0.4573,0.4646
5097,0.3241,0.3478,0.4257,0.4617,0.4558
5098,0.309,0.3937,0.4261,0.4689,0.4633
5099,0.3198,0.3915,0.4177,0.4431,0.4651
5100,0.3159,0.3678,0.4028,0.4498,0.4896
5101,0.3163,0.3529,0.4202,0.4635,0.4836
5102,0.3176,0.3742,0.4015,0.4334,0.4968
5103,0.3089,0.3577,0.4044,0.4709,0.4882
5104,0.3151,0.3491,0.4165,0.4336,0.4657
5105,0.312,0.3809,0.4029,0.454,0.4899
5106,0.3207,0.3782,0.4207,0.4568,0.4875
5107,0.3091,0.3891,0.4048,0.453,0.4794
5108,0.3033,0.3513,0.4249,0.456,0.4741
5109,0.3097,0.3739,0.3948,0.4294,0.5029
5110,0.3163,0.3718,0.4048,0.4516,0.4944
5111,0.3146,0.349,0.4214,0.472,0.4704
5112,0.3239,0.3639,0.413,0.4589,0.4908
5113,0.3178,0.354,0.4078,0.4362,0.5043
5114,0.3216,0.3474,0.4069,0.438,0.4636
5115,0.321,0.3619,0.4103,0.4556,0.468
5116,0.3121,0.365,0.4185,0.4744,0.4678
5117,0.3228,0.3514,0.4105,0.4425,0.4638
5118,0.3141,0.3598,0.4124,0.4515,0.4755
5119,0.3196,0.3576,0.4183,0.4635,0.502
5120,0.3185,0.3662,0.4015,0.4384,0.4627
5121,0.3151,0.3546,0.3999,0.4392,0.4927
5122,0.3199,0.3697,0.4115,0.4512,0.4831
5123,0.3209,0.3547,0.4168,0.4532,0.4911
5124,0.3115,0.3712,0.4131,0.4342,0.4615
5125,0.31,0.3769,0.4051,0.4567,0.4768
5126,0.315,0.3855,0.403,0.4736,0.482
5127,0.3049,0.3605,0.4244,0.4671,0.4792
5128,0.314,0.3558,0.4098,0.4574,0.4797
5129,0.3179,0.3867,0.4158,0.4447,0.4731
5130,0.3134,0.3513,0.3805,0.4406,0.4785
5131,0.3167,0.3638,0.4219,0.4538,0.4789
5132,0.3219,0.3712,0.4202,0.4614,0.4956
5133,0.3139,0.3701,0.4018,0.4599,0.4925
5134,0.3107,0.357,0.4057,0.4483,0.4686
5135,0.3104,0.351,0.4106,0.4665,0.4853
5136,0.3237,0.367,0.3997,0.4344,0.4896
5137,0.3229,0.3688,0.3876,0.4315,0.4885
5138,0.3179,0.3568,0.407,0.4408,0.4743
5139,0.3177,0.385,0.4069,0.4657,0.4858
5140,0.3248,0.3523,0.3883,0.4711,0.457
5141,0.3098,0.359,0.4055,0.4381,0.5032
5142,0.3134,0.3545,0.4207,0.4783,0.4811
5143,0.3194,0.3554,0.4277,0.444,0.4989
5144,0.3175,0.3467,0.4133,0.4526,0.4724
5145,0.315,0.3681,0.3989,0.4523,0.4714
5146,0.3119,0.3778,0.417,0.4436,0.4829
5147,0.3202,0.3552,0.4002,0.4394,0.4734
5148,0.3051,0.374,0.4318,0.4529,0.4961
5149,0.3248,0.3593,0.4057,0.4521,0.4955
5150,0.3229,0.3603,0.3948,0.4536,0.4745
5151,0.3208,0.3569,0.4095,0.4339,0.4902
5152,0.3139,0.3588,0.4227,0.4614,0.4746
5153,0.3151,0.3377,0.3923,0.4415,0.4671
5154,0.3107,0.3664,0.4172,0.4635,0.4573
5155,0.3102,0.3545,0.3894,0.4299,0.4593
5156,0.3185,0.3793,0.4019,0.4653,0.4632
5157,0.326,0.3755,0.4178,0.4627,0.4841
5158,0.3156,0.3871,0.4175,0.4571,0.4839
5159,0.3066,0.3596,0.3804,0.4567,0.4837
5160,0.3077,0.3774,0.3835,0.4651,0.4899
5161,0.3294,0.3807,0.4299,0.4559,0.4637
5162,0.3155,0.3635,0.4289,0.4554,0.4869
5163,0.3192,0.3755,0.4325,0.4321,0.4745
5164,0.3242,0.3657,0.4322,0.4777,0.4821
5165,0.3162,0.3583,0.4219,0.4539,0.4547
5166,0.3274,0.3717,0.4348,0.4437,0.4892
5167,0.318,0.3487,0.3892,0.4311,0.4738
5168,0.3225,0.3678,0.4319,0.443,0.4759
5169,0.3132,0.3523,0.4284,0.4224,0.4932
5170,0.3168,0.3632,0.4203,0.4562,0.4696
5171,0.3128,0.3788,0.4082,0.4688,0.4759
5172,0.3227,0.37,0.4414,0.4756,0.4662
5173,0.3118,0.3725,0.419,0.4546,0.4911
5174,0.3266,0.3801,0.4201,0.4342,0.4884
5175,0.3156,0.3817,0.4396,0.4645,0.4618
5176,0.3217,0.3899,0.4314,0.4599,0.47
5177,0.3198,0.3678,0.4143,0.4484,0.5062
5178,0.3132,0.3656,0.416,0.4443,0.4566
5179,0.3152,0.3646,0.4359,0.4421,0.4975
5180,0.3155,0.3599,0.4179,0.4336,0.4881
5181,0.3153,0.3376,0.4283,0.4318,0.4877
5182,0.3215,0.3539,0.4009,0.4299,0.4773
5183,0.3212,0.3544,0.4244,0.4408,0.4818
5184,0.3192,0.3664,0.4094,0.4412,0.4692
5185,0.3089,0.3717,0.4045,0.4482,0.4773
5186,0.3138,0.3706,0.4068,0.4625,0.4971
5187,0.3177,0.3695,0.4217,0.4549,0.4553
5188,0.3209,0.3451,0.4145,0.4664,0.4735
5189,0.3209,0.3622,0.4062,0.4349,0.482
5190,0.3093,0.3864,0.4386,0.4645,0.484
5191,0.3061,0.3591,0.4227,0.4661,0.4759
5192,0.3088,0.378,0.4493,0.4569,0.4825
5193,0.3158,0.3496,0.409,0.4474,0.4778
5194,0.3105,0.3645,0.4113,0.4562,0.4691
5195,0.3197,0.3883,0.4203,0.4423,0.4884
5196,0.3216,0.3501,0.3936,0.4407,0.476
5197,0.309,0.3496,0.4072,0.4469,0.4731
5198,0.3123,0.3659,0.4062,0.4413,0.468
5199,0.3281,0.3437,0.4171,0.4585,0.4801
5200,0.3082,0.3703,0.4019,0.4403,0.4805
5201,0.3132,0.3646,0.3895,0.4434,0.4739
5202,0.3183,0.3548,0.4005,0.4375,0.4964
5203,0.3124,0.3477,0.4207,0.4591,0.488
5204,0.3109,0.3493,0.417,0.4571,0.488
5205,0.3054,0.3818,0.4062,0.4679,0.463
5206,0.3169,0.3552,0.4007,0.4558,0.4939
5207,0.3188,0.366,0.4271,0.462,0.479
5208,0.314,0.3704,0.4112,0.446,0.4838
5209,0.3103,0.358,0.4101,0.4465,0.4765
5210,0.3084,0.3511,0.4128,0.4378,0.4786
5211,0.317,0.381,0.3967,0.46,0.4823
5212,0.3228,0.3754,0.4208,0.4449,0.4572
5213,0.3152,0.354,0.3866,0.4363,0.485
5214,0.3174,0.3434,0.4251,0.4541,0.4758
5215,0.313,0.3752,0.4311,0.4543,0.4762
5216,0.3109,0.3534,0.4045,0.4666,0.4856
5217,0.3164,0.3815,0.3905,0.4497,0.4744
5218,0.317,0.3724,0.4181,0.438,0.4858
5219,0.3204,0.3657,0.403,0.4515,0.477
5220,0.3096,0.3647,0.4241,0.4537,0.4954
5221,0.3171,0.3665,0.4332,0.4466,0.4855
5222,0.3053,0.3732,0.3762,0.4555,0.4777
5223,0.316,0.3746,0.4075,0.4243,0.4734
5224,0.3132,0.3668,0.4034,0.4564,0.4879
5225,0.316,0.3718,0.402,0.4594,0.4776
5226,0.3178,0.3574,0.3915,0.4353,0.4816
5227,0.3202,0.3629,0.4137,0.4424,0.4787
5228,0.3178,0.3758,0.4129,0.4321,0.484
5229,0.3261,0.3565,0.3994,0.4325,0.4718
5230,0.3232,0.3677,0.424,0.4516,0.4821
5231,0.3243,0.3878,0.411,0.4496,0.4605
5232,0.3117,0.3691,0.3909,0.4501,0.4531
5233,0.3151,0.3577,0.4229,0.4466,0.4726
5234,0.3215,0.3832,0.4236,0.427,0.5019
5235,0.3197,0.3738,0.4179,0.4529,0.4709
5236,0.3206,0.3641,0.4172,0.4678,0.4997
5237,0.3183,0.3713,0.3878,0.4552,0.4749
5238,0.3151,0.384,0.4256,0.439,0.4762
5239,0.3186,0.3522,0.4023,0.4371,0.4832
5240,0.3223,0.3596,0.4355,0.4472,0.4643
5241,0.3195,0.3531,0.3858,0.4443,0.4689
5242,0.3221,0.3599,0.4158,0.4575,0.4846
5243,0.3119,0.3734,0.4115,0.4699,0.4565
5244,0.3322,0.384,0.4112,0.446,0.4575
5245,0.297,0.3751,0.433,0.4699,0.4712
5246,0.3171,0.3697,0.418,0.4546,0.4807
5247,0.3154,0.3734,0.4188,0.4373,0.4819
5248,0.3128,0.3565,0.4489,0.448,0.495
5249,0.3164,0.3486,0.4223,0.4568,0.468
5250,0.3155,0.371,0.4139,0.4425,0.4603
5251,0.3144,0.386,0.425,0.4486,0.4581
5252,0.3064,0.3859,0.4201,0.4401,0.488
5253,0.3234,0.3736,0.3937,0.4254,0.4866
5254,0.3092,0.3853,0.4393,0.4405,0.4754
5255,0.3118,0.3607,0.4354,0.4617,0.4668
5256,0.3189,0.3717,0.4175,0.4653,0.4702
5257,0.3095,0.3589,0.3913,0.45,0.4846
5258,0.3184,0.3647,0.4022,0.4505,0.4786
5259,0.3221,0.3484,0.4039,0.4267,0.501
5260,0.31,0.3548,0.4184,0.4783,0.483
5261,0.323,0.3881,0.4143,0.4477,0.4674
5262,0.3184,0.3503,0.4059,0.4465,0.4904
5263,0.3061,0.3585,0.4223,0.4689,0.4786
5264,0.3203,0.362,0.4225,0.4661,0.4899
5265,0.3169,0.3636,0.4046,0.4391,0.4828
5266,0.3199,0.359,0.4264,0.444,0.4725
5267,0.3156,0.3756,0.4066,0.435,0.4733
5268,0.3029,0.3756,0.3837,0.4386,0.4973
5269,0.3151,0.3632,0.4126,0.4644,0.4774
5270,0.3192,0.3564,0.4098,0.4738,0.4895
5271,0.3142,0.3446,0.4089,0.4573,0.4775
5272,0.3113,0.3735,0.4063,0.4424,0.4972
5273,0.32,0.3552,0.3998,0.4513,0.4907
5274,0.3142,0.3785,0.4326,0.4727,0.4712
5275,0.322,0.3562,0.4099,0.4661,0.4769
5276,0.3187,0.3659,0.391,0.4706,0.4941
5277,0.3124,0.3566,0.4112,0.4596,0.4842
5278,0.325,0.3645,0.4223,0.4697,0.4788
5279,0.3083,0.3716,0.4079,0.4512,0.4929
5280,0.3209,0.3641,0.4175,0.4412,0.481
5281,0.3177,0.3611,0.3955,0.4492,0.471
5282,0.3216,0.3779,0.3927,0.4666,0.5023
5283,0.3128,0.3635,0.4276,0.4505,0.497
5284,0.3039,0.3634,0.4049,0.4716,0.4951
5285,0.3056,0.3507,0.4025,0.4457,0.4731
5286,0.3065,0.3515,0.4016,0.4539,0.4714
5287,0.3192,0.3645,0.4169,0.4515,0.4667
5288,0.3185,0.3592,0.4282,0.4501,0.4551
5289,0.3074,0.3659,0.4012,0.4594,0.472
5290,0.3131,0.3633,0.4102,0.4379,0.4754
5291,0.3145,0.3553,0.401,0.4363,0.4626
5292,0.3119,0.357,0.4089,0.4396,0.4807
5293,0.3254,0.3775,0.4458,0.4392,0.4636
5294,0.3243,0.3655,0.4297,0.4417,0.5028
5295,0.3087,0.3594,0.3918,0.4265,0.4821
5296,0.3029,0.3607,0.4105,0.46,0.4847
5297,0.3192,0.3585,0.4071,0.455,0.4627
5298,0.304,0.3775,0.4251,0.4581,0.494
5299,0.3063,0.361,0.3976,0.467,0.4642
5300,0.3229,0.3674,0.4097,0.4508,0.486
5301,0.329,0.3635,0.4313,0.4388,0.4923
5302,0.3217,0.3595,0.4042,0.4265,0.4597
5303,0.3087,0.3699,0.4019,0.4468,0.4756
5304,0.3148,0.3495,0.3991,0.4318,0.4616
5305,0.3144,0.3529,0.4263,0.4733,0.4964
5306,0.3105,0.3528,0.4092,0.4385,0.4745
5307,0.3207,0.3457,0.4116,0.4553,0.4769
5308,0.3134,0.3501,0.4283,0.4383,0.4847
5309,0.3175,0.3602,0.407,0.4468,0.4865
5310,0.3222,0.3567,0.4134,0.458,0.4843
5311,0.3067,0.3635,0.4052,0.4496,0.4737
5312,0.3144,0.3787,0.4108,0.4393,0.4744
5313,0.3075,0.386,0.4349,0.4486,0.4866
5314,0.3089,0.3712,0.4358,0.4606,0.4588
5315,0.3183,0.3663,0.4327,0.435,0.5102
5316,0.3154,0.3652,0.4164,0.4557,0.478
5317,0.3147,0.3569,0.4137,0.4421,0.4743
5318,0.3077,0.3641,0.4026,0.4574,0.4922
5319,0.3027,0.3577,0.4071,0.4378,0.4735
5320,0.3177,0.3779,0.4072,0.473,0.4816
5321,0.3092,0.3718,0.4193,0.4688,0.5063
5322,0.311,0.3658,0.4042,0.453,0.462
5323,0.3172,0.386,0.4424,0.4581,0.5035
5324,0.3066,0.387,0.4052,0.4465,0.4891
5325,0.3069,0.3738,0.3907,0.4498,0.4711
5326,0.321,0.3836,0.414,0.4369,0.4857
5327,0.3157,0.3632,0.3857,0.4414,0.4772
5328,0.3113,0.3561,0.3771,0.4655,0.4634
5329,0.3147,0.3714,0.4155,0.46,0.4748
5330,0.3175,0.3545,0.4096,0.4636,0.474
5331,0.3225,0.3708,0.3896,0.4506,0.4735
5332,0.3199,0.345,0.4248,0.456,0.4787
5333,0.308,0.3665,0.4012,0.4405,0.4892
5334,0.3165,0.3586,0.4237,0.4406,0.4708
5335,0.3243,0.3667,0.431,0.4515,0.4908
5336,0.3096,0.3569,0.391,0.4447,0.4579
5337,0.3079,0.3555,0.4067,0.4551,0.4769
5338,0.3219,0.3707,0.4241,0.4516,0.4654
5339,0.3238,0.3771,0.413,0.435,0.4864
5340,0.3083,0.3687,0.4208,0.4532,0.4838
5341,0.3182,0.3563,0.4106,0.4447,0.4961
5342,0.3154,0.3677,0.4127,0.4445,0.4541
5343,0.3129,0.3575,0.4116,0.4287,0.4749
5344,0.3236,0.3867,0.4085,0.4365,0.4669
5345,0.3139,0.3801,0.4318,0.4459,0.4809
5346,0.3252,0.3551,0.3967,0.4603,0.4754
5347,0.3118,0.3624,0.4402,0.4719,0.4604
5348,0.32,0.3684,0.4086,0.432,0.4718
5349,0.3081,0.3526,0.4171,0.4569,0.4775
5350,0.3084,0.3625,0.4115,0.4771,0.4847
5351,0.3202,0.381,0.4217,0.456,0.4647
5352,0.3304,0.3699,0.4126,0.4497,0.4751
5353,0.3184,0.3568,0.3912,0.4322,0.467
5354,0.3126,0.3431,0.4138,0.4739,0.4882
5355,0.3161,0.3682,0.4195,0.4668,0.4826
5356,0.3115,0.3829,0.3938,0.4309,0.4682
5357,0.3155,0.3662,0.4301,0.4538,0.4801
5358,0.3181,0.35,0.4045,0.4276,0.4744
5359,0.3114,0.3911,0.4197,0.4409,0.4771
5360,0.3092,0.3516,0.4301,0.4325,0.4849
5361,0.3076,0.3793,0.4047,0.4439,0.4803
5362,0.3147,0.3482,0.4258,0.4415,0.4758
5363,0.3201,0.3729,0.4069,0.4558,0.4757
5364,0.3172,0.369,0.4244,0.4597,0.4928
5365,0.308,0.3733,0.4189,0.4511,0.4658
5366,0.3352,0.3811,0.4141,0.4536,0.4772
5367,0.3136,0.3797,0.4344,0.4737,0.4432
5368,0.3177,0.367,0.4159,0.4497,0.4946
5369,0.3197,0.3557,0.427,0.4582,0.5061
5370,0.3097,0.3622,0.4273,0.4642,0.4707
5371,0.3239,0.3504,0.4136,0.4383,0.5019
5372,0.32,0.3555,0.3981,0.4319,0.4549
5373,0.3163,0.3789,0.4166,0.4492,0.4738
5374,0.3221,0.3688,0.3838,0.4403,0.4887
5375,0.3166,0.3727,0.3975,0.438,0.469
5376,0.3106,0.365,0.4014,0.458,0.4788
5377,0.3146,0.3735,0.3874,0.4495,0.4851
5378,0.3114,0.3823,0.4261,0.4311,0.4851
5379,0.3247,0.3594,0.4042,0.4596,0.4673
5380,0.314,0.3705,0.3898,0.4432,0.4638
5381,0.3149,0.3778,0.4149,0.4415,0.489
5382,0.3126,0.376,0.4211,0.4591,0.4672
5383,0.318,0.358,0.4143,0.4452,0.4605
5384,0.3091,0.3635,0.4079,0.4457,0.4709
5385,0.3148,0.3612,0.4083,0.4567,0.4709
5386,0.3181,0.3775,0.4305,0.4298,0.4742
5387,0.3038,0.3841,0.3854,0.4533,0.4722
5388,0.3099,0.3461,0.424,0.4568,0.4681
5389,0.3039,0.3584,0.4283,0.4315,0.4676
5390,0.3281,0.3744,0.4202,0.4616,0.4519
5391,0.3204,0.3614,0.394,0.4561,0.486
5392,0.3115,0.3642,0.4263,0.4424,0.4964
5393,0.3216,0.3738,0.427,0.4477,0.4962
5394,0.3276,0.3605,0.3958,0.425,0.4703
5395,0.3118,0.378,0.4167,0.4534,0.4558
5396,0.3099,0.3678,0.4088,0.4661,0.4771
5397,0.3169,0.3668,0.3986,0.4602,0.456
5398,0.3197,0.3653,0.3919,0.4742,0.4732
5399,0.3222,0.3684,0.4107,0.4383,0.4778
5400,0.3203,0.3678,0.4152,0.4602,0.4687
5401,0.3126,0.3549,0.4085,0.4563,0.4773
5402,0.3173,0.3706,0.4067,0.4432,0.4792
5403,0.2969,0.379,0.4117,0.4483,0.5009
5404,0.3194,0.3838,0.4193,0.4585,0.4688
5405,0.3051,0.3446,0.4303,0.4431,0.4855
5406,0.3117,0.3718,0.429,0.4404,0.4656
5407,0.3188,0.3643,0.4237,0.4537,0.4592
5408,0.3168,0.3721,0.4237,0.4634,0.484
5409,0.3087,0.3537,0.4319,0.4592,0.4731
5410,0.3163,0.3714,0.4204,0.4567,0.4992
5411,0.3212,0.376,0.4133,0.4612,0.5016
5412,0.3137,0.37,0.3974,0.425,0.4744
5413,0.3073,0.376,0.4038,0.4479,0.4986
5414,0.3304,0.351,0.4014,0.4543,0.4805
5415,0.3207,0.3738,0.4143,0.4531,0.492
5416,0.3244,0.3705,0.4153,0.4424,0.4755
5417,0.3136,0.3437,0.4273,0.4561,0.4577
5418,0.3099,0.3836,0.439,0.447,0.4846
5419,0.3096,0.3796,0.4159,0.4354,0.4834
5420,0.3121,0.3379,0.418,0.4573,0.4942
5421,0.3142,0.385,0.4121,0.4456,0.5089
5422,0.3155,0.3509,0.3949,0.4482,0.494
5423,0.3113,0.3806,0.3837,0.4766,0.4848
5424,0.3164,0.355,0.4035,0.4541,0.4722
5425,0.3151,0.3513,0.4145,0.4566,0.4665
5426,0.304,0.3601,0.4144,0.4384,0.4747
5427,0.314,0.3736,0.4058,0.4366,0.4765
5428,0.3155,0.3712,0.4174,0.4565,0.4947
5429,0.3077,0.3642,0.4292,0.4401,0.4892
5430,0.3186,0.3606,0.4061,0.439,0.4769
5431,0.3185,0.3684,0.4314,0.4638,0.4837
5432,0.3119,0.366,0.418,0.4413,0.4589
5433,0.3144,0.3629,0.3871,0.4536,0.4654
5434,0.3123,0.3604,0.405,0.4474,0.4993
5435,0.3208,0.3336,0.4128,0.4422,0.4563
5436,0.3248,0.3643,0.4168,0.4423,0.496
5437,0.3182,0.3542,0.4001,0.4765,0.4894
5438,0.3158,0.3647,0.4157,0.4528,0.4672
5439,0.3198,0.3537,0.408,0.4356,0.4718
5440,0.3153,0.3731,0.4312,0.4652,0.4736
5441,0.3155,0.3728,0.4132,0.433,0.4904
5442,0.3241,0.3595,0.4169,0.4546,0.4911
5443,0.3183,0.3496,0.4226,0.4551,0.4625
5444,0.3107,0.368,0.3978,0.4399,0.4783
5445,0.3152,0.3457,0.4161,0.4536,0.4661
5446,0.317,0.3802,0.4211,0.4315,0.4774
5447,0.3138,0.3886,0.3904,0.4341,0.4847
5448,0.321,0.3686,0.4145,0.4521,0.4623
5449,0.3238,0.3701,0.4416,0.4531,0.4972
5450,0.3084,0.3764,0.4207,0.4423,0.4954
5451,0.3206,0.3509,0.4088,0.4603,0.4791
5452,0.3216,0.3528,0.4097,0.4595,0.4641
5453,0.3145,0.3731,0.4167,0.4783,0.4812
5454,0.3218,0.3658,0.4088,0.4682,0.4688
5455,0.3122,0.3705,0.4039,0.4689,0.5013
5456,0.3061,0.3546,0.4057,0.4657,0.4931
5457,0.3113,0.3836,0.3945,0.4703,0.4659
5458,0.3085,0.3502,0.3992,0.4477,0.4727
5459,0.3217,0.3809,0.4265,0.4378,0.4747
5460,0.3136,0.38,0.385,0.4747,0.4783
5461,0.3256,0.3777,0.4105,0.4531,0.4772
5462,0.3222,0.3529,0.4182,0.4555,0.4825
5463,0.3272,0.3759,0.4161,0.4414,0.473
5464,0.3142,0.347,0.3931,0.4452,0.4483
5465,0.3085,0.3647,0.4039,0.467,0.4905
5466,0.312,0.3658,0.4118,0.4474,0.4837
5467,0.31,0.3655,0.4083,0.4426,0.4595
5468,0.3167,0.3667,0.4298,0.4538,0.4788
5469,0.3235,0.38,0.3738,0.4433,0.4696
5470,0.3134,0.3647,0.4064,0.4594,0.4732
5471,0.3192,0.3743,0.4067,0.4582,0.4863
5472,0.3139,0.3763,0.4152,0.457,0.4956
5473,0.3118,0.3594,0.4107,0.4554,0.4814
5474,0.3142,0.3692,0.431,0.4423,0.5025
5475,0.3043,0.3555,0.4017,0.4333,0.4846
5476,0.3226,0.3733,0.3902,0.4259,0.4896
5477,0.3213,0.3754,0.4081,0.4333,0.4911
5478,0.3042,0.3635,0.4038,0.4332,0.469
5479,0.318,0.3691,0.401,0.4404,0.5022
5480,0.3267,0.3559,0.407,0.439,0.4765
5481,0.3176,0.3463,0.4051,0.4208,0.501
5482,0.3213,0.3835,0.4009,0.4697,0.4898
5483,0.3225,0.3579,0.4283,0.4633,0.482
5484,0.3251,0.3631,0.4243,0.4732,0.5017
5485,0.3151,0.3624,0.4132,0.4609,0.4796
5486,0.3112,0.3588,0.3938,0.4665,0.4801
5487,0.319,0.3675,0.4216,0.4554,0.4677
5488,0.316,0.3584,0.4039,0.4675,0.4881
5489,0.3269,0.3616,0.4136,0.4603,0.4772
5490,0.3145,0.3617,0.4249,0.4377,0.4976
5491,0.3167,0.3556,0.4063,0.4584,0.4707
5492,0.3062,0.3656,0.4149,0.4668,0.4867
5493,0.3223,0.3738,0.41,0.4629,0.4637
5494,0.3086,0.3463,0.4253,0.4583,0.4673
5495,0.3221,0.3472,0.3839,0.4558,0.4784
5496,0.3168,0.3564,0.4083,0.4448,0.4817
5497,0.3227,0.3747,0.3973,0.4484,0.4589
5498,0.3119,0.3554,0.4232,0.4583,0.4835
5499,0.3227,0.3625,0.4056,0.4601,0.4726
5500,0.3141,0.358,0.4046,0.4552,0.4915
5501,0.3183,0.3637,0.4145,0.4587,0.4779
5502,0.31,0.3829,0.4189,0.4505,0.4664
5503,0.3228,0.3639,0.3914,0.4569,0.4879
5504,0.3172,0.3712,0.4021,0.4447,0.494
5505,0.3171,0.3474,0.4076,0.4387,0.46
5506,0.3123,0.3591,0.3917,0.4332,0.4755
5507,0.3142,0.3717,0.4044,0.4639,0.4681
5508,0.3232,0.3469,0.4018,0.4587,0.4949
5509,0.3169,0.352,0.4264,0.4453,0.4604
5510,0.3224,0.3591,0.4,0.4625,0.5002
5511,0.3231,0.3612,0.4289,0.4608,0.5036
5512,0.3139,0.3663,0.4302,0.4496,0.4834
5513,0.3171,0.3737,0.4227,0.4541,0.4652
5514,0.3145,0.3539,0.4077,0.458,0.4623
5515,0.3116,0.349,0.394,0.4547,0.4867
5516,0.3172,0.3755,0.3932,0.4839,0.4766
5517,0.32,0.3817,0.4272,0.4423,0.4722
5518,0.3128,0.3811,0.4352,0.4209,0.4899
5519,0.3201,0.3865,0.4216,0.431,0.4832
5520,0.3099,0.3768,0.412,0.4367,0.4915
5521,0.3183,0.379,0.4273,0.4362,0.4527
