Iteration,Proportion Test,Proportion Test (Sim Results Dual1.Csv),Proportion Test (Sim Results Dual2.Csv),Proportion Test (Sim Results Dual3.Csv),Proportion Test (Sim Results Dual4.Csv)
278,0.315,0.3487,0.408,0.4639,0.4566
279,0.312,0.3713,0.4047,0.433,0.4848
280,0.3185,0.3867,0.4059,0.4421,0.5018
281,0.3208,0.3733,0.4113,0.4611,0.494
282,0.3095,0.3972,0.4234,0.4479,0.4771
283,0.3207,0.3708,0.403,0.4413,0.4949
284,0.3283,0.3804,0.4324,0.4538,0.4667
285,0.3202,0.363,0.4167,0.4514,0.4587
286,0.3107,0.3813,0.4052,0.4405,0.4559
287,0.312,0.356,0.4174,0.4482,0.4766
288,0.3114,0.3553,0.427,0.4437,0.492
289,0.317,0.371,0.4463,0.4485,0.4879
290,0.3053,0.361,0.4088,0.4438,0.4638
291,0.3193,0.3684,0.406,0.4399,0.4816
292,0.3087,0.3763,0.4253,0.4618,0.4841
293,0.3062,0.3924,0.4154,0.4383,0.4894
294,0.3146,0.3653,0.4437,0.4625,0.4575
295,0.3175,0.3483,0.4231,0.4476,0.4833
296,0.3121,0.3625,0.4009,0.4567,0.4821
297,0.3124,0.3869,0.3866,0.4415,0.4869
298,0.3182,0.3519,0.4085,0.4593,0.4854
299,0.3181,0.3699,0.4249,0.4302,0.4753
300,0.3129,0.3578,0.4136,0.4601,0.4997
301,0.3143,0.3527,0.4157,0.4524,0.4722
302,0.324,0.3728,0.428,0.4533,0.489
303,0.3102,0.3582,0.4102,0.4483,0.463
304,0.3144,0.3697,0.4085,0.4506,0.4681
305,0.3107,0.3592,0.4041,0.4395,0.4797
306,0.3167,0.3661,0.4079,0.4436,0.4871
307,0.3139,0.3469,0.3898,0.4504,0.4942
308,0.3126,0.3704,0.4153,0.4651,0.478
309,0.3152,0.3616,0.3883,0.4333,0.4649
310,0.3113,0.3637,0.4013,0.4608,0.4775
311,0.3132,0.3564,0.4316,0.4568,0.4749
312,0.313,0.3687,0.4342,0.4409,0.4639
313,0.3062,0.356,0.4159,0.454,0.4855
314,0.3255,0.36,0.4184,0.4477,0.4764
315,0.3138,0.3734,0.4088,0.4578,0.4942
316,0.3183,0.3573,0.3865,0.4458,0.4952
317,0.3166,0.3755,0.4091,0.4573,0.4904
318,0.3193,0.3669,0.3905,0.4549,0.4899
319,0.3068,0.3599,0.4108,0.4329,0.4872
320,0.3115,0.3671,0.418,0.4538,0.4952
321,0.3161,0.3774,0.4089,0.475,0.4542
322,0.3058,0.3785,0.4345,0.4663,0.4762
323,0.326,0.3822,0.4054,0.4618,0.4828
324,0.3098,0.3628,0.4408,0.456,0.4714
325,0.316,0.349,0.4064,0.4617,0.485
326,0.3142,0.3842,0.403,0.4594,0.4771
327,0.3084,0.3661,0.4105,0.4681,0.4686
328,0.3153,0.374,0.3851,0.4599,0.4697
329,0.3101,0.3649,0.4091,0.4583,0.4574
330,0.3146,0.3589,0.3997,0.4582,0.4742
331,0.3161,0.3583,0.391,0.4346,0.4622
332,0.3155,0.3667,0.4324,0.4786,0.4881
333,0.3088,0.3752,0.4187,0.4423,0.4668
334,0.3147,0.3562,0.4114,0.4568,0.4659
335,0.3172,0.3611,0.4056,0.4502,0.4623
336,0.3133,0.3545,0.4002,0.4367,0.485
337,0.3214,0.3589,0.4127,0.4477,0.4891
338,0.3083,0.3934,0.4066,0.4657,0.4878
339,0.3242,0.3731,0.394,0.4554,0.4912
340,0.3204,0.395,0.4131,0.4651,0.4899
341,0.3191,0.3694,0.4096,0.4509,0.484
342,0.322,0.3678,0.4176,0.4768,0.4753
343,0.3249,0.3593,0.4131,0.4465,0.4934
344,0.3157,0.373,0.4141,0.4644,0.4748
345,0.3238,0.385,0.4051,0.4607,0.4902
346,0.3241,0.3508,0.4073,0.4648,0.4895
347,0.3131,0.3597,0.4218,0.4575,0.4843
348,0.314,0.3548,0.418,0.4471,0.4829
349,0.3173,0.369,0.4249,0.4473,0.4702
350,0.3158,0.3733,0.3973,0.4563,0.4933
351,0.3178,0.3611,0.4101,0.4654,0.4747
352,0.317,0.3656,0.3809,0.4654,0.4847
353,0.3101,0.3726,0.401,0.4666,0.4847
354,0.3148,0.3852,0.4192,0.4462,0.4767
355,0.3215,0.3666,0.405,0.446,0.4999
356,0.309,0.3585,0.4143,0.4371,0.4696
357,0.3238,0.3702,0.4319,0.4479,0.484
358,0.3164,0.3527,0.4093,0.444,0.502
359,0.3149,0.3505,0.3936,0.4514,0.4884
360,0.3053,0.3736,0.4081,0.4389,0.4732
361,0.3115,0.3512,0.4023,0.4332,0.4699
362,0.3134,0.3596,0.4199,0.4584,0.4943
363,0.3075,0.3794,0.4052,0.4513,0.462
364,0.3275,0.3799,0.3909,0.4475,0.4774
365,0.3222,0.3781,0.4147,0.4359,0.4704
366,0.3041,0.3872,0.4254,0.4349,0.4945
367,0.3308,0.3489,0.3903,0.4559,0.4865
368,0.3125,0.3531,0.4193,0.4578,0.4835
369,0.304,0.3909,0.42,0.4594,0.4817
370,0.3082,0.3845,0.3776,0.4166,0.5017
371,0.3129,0.3615,0.4104,0.4658,0.4641
372,0.3118,0.3547,0.4365,0.4473,0.4804
373,0.3151,0.371,0.4088,0.4636,0.4727
374,0.3083,0.3567,0.4228,0.4424,0.471
375,0.3154,0.3777,0.4268,0.4604,0.4772
376,0.3173,0.3673,0.3982,0.4421,0.4818
377,0.3154,0.3864,0.4174,0.4412,0.4752
378,0.3179,0.35,0.4298,0.4445,0.4967
379,0.3123,0.3695,0.4182,0.455,0.4606
380,0.318,0.3694,0.4324,0.4285,0.4895
381,0.3089,0.3733,0.4154,0.4314,0.4537
382,0.313,0.3883,0.3914,0.4609,0.4647
383,0.3203,0.3613,0.4027,0.4563,0.4915
384,0.3127,0.3611,0.3952,0.4652,0.4884
385,0.3088,0.3685,0.4228,0.4633,0.4446
386,0.3102,0.3528,0.4239,0.4394,0.4808
387,0.3212,0.3621,0.4179,0.4372,0.4854
388,0.3208,0.3822,0.3996,0.4356,0.477
389,0.3233,0.3767,0.3983,0.4382,0.4736
390,0.3124,0.3562,0.4187,0.4716,0.4429
391,0.3116,0.3699,0.4,0.4255,0.4682
392,0.3251,0.371,0.4214,0.4538,0.4668
393,0.3258,0.3757,0.3796,0.4521,0.4702
394,0.3121,0.3705,0.4078,0.4574,0.4908
395,0.3083,0.3584,0.4105,0.4372,0.488
396,0.3193,0.3515,0.4448,0.4444,0.4887
397,0.3214,0.3826,0.4073,0.4452,0.4719
398,0.32,0.3544,0.3814,0.4544,0.4786
399,0.3194,0.3378,0.4033,0.4505,0.4634
400,0.3148,0.3584,0.4106,0.4262,0.4595
401,0.3116,0.3904,0.3999,0.4324,0.4692
402,0.3187,0.3398,0.4231,0.4611,0.4506
403,0.3141,0.365,0.3869,0.452,0.4637
404,0.3188,0.3663,0.3836,0.4442,0.455
405,0.3117,0.3513,0.4264,0.4444,0.4984
406,0.31,0.3559,0.4277,0.4517,0.4897
407,0.3083,0.346,0.391,0.4405,0.5
408,0.3102,0.3763,0.4151,0.462,0.4889
409,0.3218,0.3764,0.4302,0.4779,0.4693
410,0.3224,0.3507,0.3943,0.4459,0.4789
411,0.3147,0.3673,0.4123,0.4545,0.4647
412,0.3137,0.3609,0.4287,0.4489,0.4939
413,0.3078,0.3608,0.4078,0.4595,0.4549
414,0.3155,0.3796,0.4201,0.4445,0.4867
415,0.3053,0.3464,0.4207,0.4359,0.4684
416,0.3164,0.3815,0.4012,0.4351,0.4795
417,0.3159,0.3802,0.4015,0.4454,0.4859
418,0.3216,0.3586,0.4028,0.4487,0.4951
419,0.3168,0.359,0.4163,0.4415,0.4654
420,0.3155,0.385,0.4136,0.4474,0.4912
421,0.306,0.3691,0.4078,0.4648,0.4913
422,0.311,0.3648,0.4066,0.4293,0.49
423,0.3236,0.3942,0.4039,0.4554,0.4836
424,0.3072,0.3711,0.403,0.4441,0.478
425,0.3115,0.3835,0.4026,0.4648,0.4603
426,0.3185,0.3484,0.4265,0.4391,0.489
427,0.3082,0.3617,0.3997,0.4629,0.48
428,0.3247,0.3618,0.4094,0.4451,0.4716
429,0.3168,0.3778,0.405,0.4453,0.4758
430,0.3162,0.3727,0.4074,0.4487,0.4736
431,0.3144,0.3595,0.3847,0.4601,0.4667
432,0.31,0.3625,0.4112,0.4495,0.4713
433,0.315,0.3641,0.4316,0.4372,0.4732
434,0.3172,0.348,0.3846,0.447,0.4818
435,0.3123,0.3676,0.4217,0.4699,0.4863
436,0.3042,0.3838,0.4066,0.439,0.4897
437,0.3227,0.371,0.4036,0.4328,0.4704
438,0.3122,0.3648,0.4241,0.4463,0.4619
439,0.3148,0.3573,0.4222,0.427,0.4831
440,0.3185,0.3591,0.4155,0.4571,0.4576
441,0.3145,0.3536,0.4254,0.4471,0.4745
442,0.3194,0.3567,0.4057,0.4605,0.4899
443,0.3206,0.3606,0.4139,0.439,0.4967
444,0.317,0.3572,0.4249,0.4332,0.4814
445,0.3086,0.3902,0.4126,0.4496,0.4598
446,0.317,0.3662,0.4246,0.4432,0.4656
447,0.3175,0.3754,0.4279,0.4464,0.505
448,0.3166,0.3492,0.4149,0.4432,0.4703
449,0.3129,0.3873,0.3844,0.4509,0.4701
450,0.3147,0.3629,0.41,0.4531,0.4594
451,0.32,0.3868,0.4152,0.4561,0.4732
452,0.3166,0.3634,0.3978,0.4403,0.4856
453,0.314,0.3499,0.4104,0.4702,0.4705
454,0.3193,0.353,0.417,0.4533,0.4715
455,0.3255,0.3801,0.4003,0.4717,0.4717
456,0.3261,0.3553,0.4249,0.4383,0.4873
457,0.3173,0.3786,0.4132,0.4676,0.4855
458,0.3048,0.3724,0.4312,0.4496,0.4847
459,0.3203,0.3733,0.4387,0.4543,0.4934
460,0.3117,0.36,0.3872,0.4384,0.4674
461,0.3164,0.3775,0.4152,0.4515,0.4717
462,0.3191,0.3776,0.4112,0.4529,0.487
463,0.3117,0.3479,0.399,0.4389,0.4749
464,0.3237,0.3566,0.4228,0.4626,0.4682
465,0.3265,0.3631,0.3997,0.4707,0.4803
466,0.3033,0.3497,0.4216,0.4378,0.4919
467,0.3085,0.3686,0.435,0.4425,0.4704
468,0.3151,0.3483,0.4141,0.4292,0.4996
469,0.3195,0.3635,0.4198,0.4412,0.4782
470,0.3098,0.3532,0.4224,0.4441,0.4895
471,0.3127,0.3922,0.4115,0.4814,0.4664
472,0.3234,0.3454,0.4047,0.4643,0.4885
473,0.3283,0.3749,0.4187,0.4526,0.4692
474,0.3249,0.3555,0.3941,0.4491,0.4725
475,0.3137,0.3696,0.3966,0.4479,0.4924
476,0.3107,0.3818,0.4181,0.4487,0.4783
477,0.3176,0.3707,0.4066,0.4285,0.5093
478,0.3177,0.3661,0.4255,0.4336,0.4769
479,0.3115,0.3771,0.4198,0.476,0.4847
480,0.3056,0.3543,0.4173,0.4539,0.4985
481,0.3171,0.3773,0.4275,0.4392,0.4722
482,0.3113,0.3764,0.3985,0.4764,0.4734
483,0.3124,0.3716,0.409,0.4651,0.4822
484,0.319,0.3362,0.4398,0.4619,0.4938
485,0.3222,0.3579,0.4121,0.4592,0.4734
486,0.3163,0.3483,0.3967,0.4691,0.4727
487,0.312,0.3699,0.42,0.4738,0.4866
488,0.3209,0.3644,0.4232,0.4336,0.4867
489,0.3128,0.3712,0.4228,0.4524,0.4987
490,0.3187,0.3616,0.4381,0.4383,0.4908
491,0.3221,0.3783,0.3985,0.4759,0.4766
492,0.3177,0.3692,0.4084,0.4254,0.5015
493,0.3066,0.3569,0.4043,0.4464,0.4647
494,0.3158,0.3762,0.411,0.4518,0.4645
495,0.317,0.377,0.3919,0.418,0.4779
496,0.3177,0.3523,0.4087,0.4586,0.488
497,0.3178,0.3761,0.3971,0.4537,0.4936
498,0.3195,0.3823,0.4077,0.4444,0.4741
499,0.3125,0.362,0.4102,0.4466,0.4722
500,0.3116,0.3779,0.4051,0.457,0.4688
501,0.319,0.3612,0.4271,0.4411,0.4647
502,0.3072,0.3687,0.4136,0.4487,0.4856
503,0.3066,0.3512,0.3937,0.4632,0.471
504,0.3171,0.3692,0.4023,0.462,0.4703
505,0.3225,0.3492,0.4002,0.449,0.4732
506,0.3171,0.3859,0.4058,0.4426,0.4874
507,0.3145,0.3684,0.3922,0.4294,0.496
508,0.3153,0.3732,0.3791,0.4479,0.4777
509,0.3214,0.3595,0.3966,0.4563,0.4785
510,0.3241,0.3484,0.3957,0.4701,0.4705
511,0.3228,0.358,0.4084,0.4499,0.4835
512,0.3278,0.3611,0.4361,0.4421,0.4872
513,0.3125,0.3553,0.4041,0.4193,0.4639
514,0.3116,0.3547,0.411,0.427,0.4867
515,0.3199,0.376,0.3975,0.4606,0.4799
516,0.3113,0.3796,0.3958,0.4565,0.4666
517,0.3071,0.3605,0.4068,0.4527,0.4987
