Iteration,Proportion Test,Proportion Test (Sim Results Dual1High.Csv),Proportion Test (Sim Results Dual2High.Csv),Proportion Test (Sim Results Dual3High.Csv),Proportion Test (Sim Results Dual4High.Csv)
203,0.3215,0.4125,0.4443,0.4991,0.5194
204,0.3071,0.389,0.4512,0.5024,0.5049
205,0.3087,0.3962,0.4364,0.4972,0.5214
206,0.3162,0.4099,0.4505,0.492,0.5165
207,0.3202,0.3879,0.4233,0.4865,0.529
208,0.3238,0.379,0.4546,0.4922,0.5228
209,0.3127,0.3966,0.4228,0.5028,0.5224
210,0.3129,0.4116,0.4513,0.4979,0.5105
211,0.3219,0.3714,0.4496,0.4794,0.507
212,0.3199,0.3923,0.4464,0.4793,0.5097
213,0.3243,0.4009,0.4429,0.4977,0.5043
214,0.3166,0.3703,0.4594,0.4716,0.5155
215,0.3232,0.3888,0.456,0.4817,0.5034
216,0.3186,0.4014,0.4502,0.4959,0.5364
217,0.3193,0.394,0.4664,0.4957,0.5274
218,0.3242,0.3995,0.441,0.5024,0.5127
219,0.3133,0.3992,0.4565,0.4806,0.5306
220,0.3215,0.3987,0.4318,0.4971,0.5183
221,0.3116,0.4184,0.4357,0.4853,0.5128
222,0.3146,0.4087,0.4282,0.4904,0.5138
223,0.3157,0.3924,0.4339,0.4862,0.5275
224,0.3182,0.3861,0.4325,0.4811,0.5256
225,0.3104,0.3909,0.4511,0.4818,0.5115
226,0.3152,0.4131,0.465,0.4686,0.5124
227,0.3215,0.4067,0.4477,0.4927,0.5172
228,0.3197,0.3895,0.4205,0.4846,0.5223
229,0.312,0.3796,0.4514,0.4721,0.52
230,0.3168,0.388,0.4544,0.4873,0.4979
231,0.3204,0.4044,0.4523,0.481,0.5172
232,0.3159,0.3714,0.4579,0.4942,0.5172
233,0.3239,0.4016,0.4541,0.4882,0.5057
234,0.3112,0.4204,0.4532,0.4862,0.5333
235,0.3207,0.3914,0.4379,0.4941,0.52
236,0.314,0.3919,0.4574,0.4869,0.5035
237,0.3149,0.3959,0.4678,0.4984,0.5264
238,0.3079,0.4013,0.4291,0.5002,0.4993
239,0.3114,0.386,0.4608,0.4981,0.5194
240,0.3182,0.401,0.4517,0.4864,0.5151
241,0.3173,0.3902,0.4343,0.4662,0.5192
242,0.305,0.3757,0.4742,0.478,0.5161
243,0.3091,0.3918,0.4537,0.4834,0.5347
244,0.3279,0.3766,0.4443,0.502,0.505
245,0.3085,0.4018,0.4822,0.4879,0.5095
246,0.3175,0.3958,0.4604,0.4937,0.5242
247,0.3226,0.3992,0.4344,0.4987,0.5273
248,0.3152,0.4313,0.4527,0.4789,0.5105
249,0.3162,0.4081,0.446,0.4718,0.5177
250,0.3105,0.3916,0.4395,0.4835,0.5291
251,0.3217,0.4043,0.4484,0.4985,0.5155
252,0.3079,0.3929,0.4425,0.4868,0.514
253,0.3273,0.4002,0.4359,0.4734,0.5217
254,0.3185,0.3933,0.4642,0.4947,0.515
255,0.3211,0.3921,0.4438,0.4827,0.5074
256,0.3142,0.4064,0.4322,0.5046,0.5173
257,0.3203,0.3893,0.4492,0.4817,0.5234
258,0.3138,0.3968,0.4731,0.5015,0.5164
259,0.3114,0.4004,0.4755,0.4812,0.5187
260,0.3069,0.4169,0.4384,0.5073,0.506
261,0.308,0.4282,0.441,0.504,0.508
262,0.3195,0.3843,0.4365,0.4784,0.5094
263,0.3179,0.3947,0.4342,0.4974,0.5195
264,0.3158,0.4037,0.4714,0.5023,0.5162
265,0.3205,0.4067,0.4611,0.4857,0.5294
