Iteration,Policy Test,Policy Test (Sim Results Mandate1.Csv),Policy Test (Sim Results Mandate2.Csv),Policy Test (Sim Results Mandate3.Csv),Policy Test (Sim Results Mandate4.Csv),Policy Test (Sim Results Mandate5.Csv),Policy Test (Sim Results Mandate6.Csv),Policy Test (Sim Results Mandate7.Csv),Proportion Test
100,0.5243,0.5629,0.6501,0.6567,0.7048,0.804,0.7989,0.9312,0.3185
101,0.5194,0.5277,0.6453,0.6265,0.6705,0.7939,0.755,0.9157,0.3041
102,0.5159,0.5563,0.6254,0.6429,0.6868,0.755,0.7856,0.8577,0.3183
103,0.4263,0.5681,0.5254,0.6412,0.6728,0.642,0.7375,0.7452,0.3165
104,0.5144,0.6249,0.6034,0.7166,0.7605,0.7155,0.844,0.805,0.3167
105,0.4859,0.5913,0.5804,0.6958,0.7426,0.6859,0.8412,0.7813,0.3054
106,0.456,0.4991,0.5709,0.5773,0.6176,0.7126,0.7058,0.8244,0.3188
107,0.4838,0.5207,0.5732,0.6009,0.6397,0.6792,0.7171,0.7754,0.311
108,0.5362,0.5709,0.6454,0.6719,0.7212,0.7917,0.8272,0.8998,0.3234
109,0.4519,0.5803,0.5686,0.6638,0.7119,0.7133,0.8115,0.8239,0.3079
110,0.5708,0.5421,0.6562,0.6354,0.6854,0.7574,0.7871,0.8482,0.3169
111,0.4962,0.5966,0.6258,0.654,0.6821,0.7911,0.7344,0.9217,0.313
112,0.5119,0.5438,0.6197,0.6492,0.7056,0.7493,0.8087,0.8517,0.3172
113,0.5892,0.5407,0.6751,0.632,0.6737,0.7642,0.7618,0.8591,0.3107
114,0.5667,0.5929,0.6583,0.6727,0.7101,0.7577,0.7935,0.8578,0.3213
115,0.469,0.5883,0.5721,0.6794,0.7245,0.7094,0.81,0.8135,0.3219
116,0.5154,0.5222,0.601,0.6025,0.6424,0.6936,0.727,0.7833,0.3158
117,0.5843,0.5365,0.6732,0.6189,0.6539,0.778,0.7122,0.8708,0.3104
118,0.519,0.5997,0.6391,0.68,0.7274,0.7935,0.8267,0.9207,0.3209
119,0.4989,0.5019,0.6033,0.5831,0.6244,0.7307,0.6996,0.8392,0.3112
120,0.5099,0.5431,0.6022,0.661,0.7182,0.7218,0.8294,0.8189,0.3106
121,0.4504,0.5214,0.5625,0.6304,0.6772,0.7194,0.7717,0.8338,0.3146
122,0.5298,0.5835,0.6024,0.6464,0.6773,0.6922,0.741,0.7672,0.3235
123,0.5324,0.5871,0.6386,0.6794,0.7275,0.7647,0.822,0.8719,0.3235
124,0.4839,0.5584,0.6137,0.6414,0.6766,0.7798,0.7546,0.9098,0.3096
125,0.5521,0.6228,0.6497,0.6844,0.7137,0.7645,0.7755,0.8635,0.326
126,0.5114,0.6593,0.6172,0.7439,0.7821,0.744,0.8588,0.852,0.3193
127,0.5129,0.6611,0.6366,0.7373,0.7772,0.7926,0.8643,0.9221,0.3187
128,0.5734,0.5343,0.6602,0.6425,0.6927,0.7613,0.7897,0.8558,0.3033
129,0.5736,0.6016,0.6674,0.6777,0.7156,0.7808,0.7938,0.8797,0.3247
130,0.5315,0.565,0.6142,0.6702,0.7249,0.7041,0.838,0.7942,0.3188
131,0.5869,0.6008,0.6641,0.6928,0.7369,0.7515,0.8178,0.8411,0.3172
132,0.5739,0.5696,0.6566,0.6566,0.6938,0.7448,0.7689,0.8322,0.3112
133,0.5406,0.4847,0.6532,0.5686,0.6087,0.7906,0.6807,0.9093,0.3215
134,0.4706,0.538,0.5654,0.6449,0.6971,0.6766,0.7979,0.7679,0.32
