Iteration,Policy Test,Policy Test (Sim Results Mandate1.Csv),Policy Test (Sim Results Mandate2.Csv),Policy Test (Sim Results Mandate3.Csv),Policy Test (Sim Results Mandate4.Csv),Policy Test (Sim Results Mandate5.Csv),Policy Test (Sim Results Mandate6.Csv),Policy Test (Sim Results Mandate7.Csv),Proportion Test
5358,0.4624,0.5338,0.6002,0.6032,0.636,0.7676,0.7053,0.9024,0.3181
5359,0.5568,0.5717,0.6639,0.6595,0.6956,0.7882,0.7747,0.8961,0.3114
5360,0.5546,0.6024,0.653,0.6601,0.6824,0.7807,0.7348,0.8807,0.3092
5361,0.4379,0.6313,0.5537,0.7047,0.7378,0.6996,0.8018,0.8126,0.3076
5362,0.5444,0.5471,0.6214,0.6075,0.6435,0.6955,0.7132,0.7809,0.3147
5363,0.4525,0.6231,0.5731,0.6963,0.7285,0.7214,0.7988,0.8352,0.3201
5364,0.5437,0.6124,0.6377,0.6873,0.7264,0.7601,0.808,0.8679,0.3172
5365,0.5838,0.5252,0.6799,0.6314,0.6861,0.78,0.7846,0.874,0.308
5366,0.5261,0.6112,0.62,0.6979,0.7369,0.7433,0.8072,0.8417,0.3352
5367,0.5141,0.6316,0.6117,0.6817,0.7136,0.7235,0.7756,0.8259,0.3136
5368,0.5217,0.5891,0.6307,0.646,0.6736,0.7648,0.733,0.8802,0.3177
5369,0.4666,0.5746,0.5964,0.6377,0.6694,0.7533,0.7348,0.8773,0.3197
5370,0.4669,0.5492,0.5665,0.6194,0.6537,0.6851,0.7249,0.7935,0.3097
5371,0.5018,0.5811,0.588,0.6502,0.6844,0.7006,0.7632,0.7915,0.3239
5372,0.574,0.5319,0.6504,0.6219,0.6692,0.7336,0.768,0.8174,0.32
5373,0.5568,0.5362,0.6572,0.6526,0.7098,0.7905,0.8152,0.8933,0.3163
5374,0.5185,0.541,0.6121,0.6399,0.688,0.7166,0.7925,0.8106,0.3221
5375,0.5015,0.5723,0.6247,0.6833,0.734,0.7849,0.8325,0.9024,0.3166
5376,0.5862,0.5795,0.6857,0.6735,0.7192,0.7981,0.8045,0.9014,0.3106
5377,0.4614,0.5883,0.5751,0.653,0.6876,0.7245,0.7543,0.8473,0.3146
5378,0.4668,0.5235,0.5707,0.6016,0.6385,0.6977,0.7115,0.8058,0.3114
5379,0.5423,0.5964,0.6407,0.6732,0.7129,0.7495,0.792,0.847,0.3247
5380,0.4439,0.5198,0.5351,0.6006,0.6402,0.6556,0.7246,0.7501,0.314
5381,0.5219,0.5495,0.6107,0.6378,0.678,0.7094,0.7624,0.8031,0.3149
5382,0.5593,0.6294,0.64,0.7103,0.7542,0.7408,0.8366,0.8251,0.3126
5383,0.4626,0.5733,0.5657,0.6412,0.6733,0.7005,0.7372,0.8022,0.318
5384,0.5672,0.6413,0.6374,0.7119,0.7531,0.7072,0.8176,0.7814,0.3091
5385,0.4611,0.5974,0.5589,0.6431,0.6664,0.6738,0.7144,0.7609,0.3148
5386,0.4879,0.5629,0.5827,0.6468,0.684,0.6993,0.7595,0.7972,0.3181
5387,0.5748,0.5412,0.6679,0.6361,0.6805,0.7766,0.7801,0.8755,0.3038
5388,0.4616,0.5466,0.5692,0.6539,0.7029,0.7107,0.8,0.816,0.3099
5389,0.569,0.6138,0.6472,0.6981,0.7413,0.7365,0.8258,0.8181,0.3039
5390,0.4643,0.5851,0.5851,0.6631,0.704,0.7359,0.7858,0.8523,0.3281
5391,0.47,0.5963,0.5796,0.688,0.7372,0.7119,0.8328,0.8117,0.3204
5392,0.5049,0.5653,0.5947,0.6226,0.6501,0.6904,0.7018,0.7829,0.3115
5393,0.5711,0.5809,0.6612,0.6515,0.692,0.7692,0.7689,0.8708,0.3216
5394,0.5441,0.6481,0.6146,0.7031,0.7362,0.7018,0.8109,0.7777,0.3276
5395,0.4858,0.5871,0.5826,0.6673,0.7106,0.6965,0.7933,0.8003,0.3118
5396,0.4656,0.6209,0.5695,0.7017,0.7446,0.6759,0.8305,0.7857,0.3099
5397,0.5451,0.5898,0.6511,0.655,0.6846,0.7905,0.7513,0.9006,0.3169
5398,0.5282,0.5353,0.6343,0.628,0.6729,0.7719,0.76,0.8797,0.3197
5399,0.4423,0.6045,0.5611,0.6556,0.6836,0.7027,0.7395,0.8184,0.3222
5400,0.5254,0.5837,0.6031,0.6529,0.6891,0.6938,0.7667,0.7738,0.3203
5401,0.5636,0.5762,0.6711,0.6411,0.6766,0.8108,0.758,0.9251,0.3126
5402,0.5441,0.6033,0.6264,0.6717,0.7018,0.7151,0.7567,0.8058,0.3173
5403,0.5236,0.4894,0.6275,0.5751,0.6192,0.7608,0.6961,0.8687,0.2969
5404,0.5825,0.5483,0.6927,0.6192,0.6533,0.8223,0.7205,0.9295,0.3194
5405,0.5885,0.5438,0.6845,0.6585,0.714,0.7886,0.8275,0.8913,0.3051
5406,0.5544,0.5895,0.6373,0.6843,0.7339,0.7349,0.8411,0.8155,0.3117
5407,0.5683,0.5222,0.6675,0.5963,0.6349,0.777,0.7161,0.8894,0.3188
5408,0.5778,0.5816,0.6472,0.6468,0.6779,0.7303,0.738,0.8098,0.3168
5409,0.4493,0.526,0.5653,0.606,0.6495,0.7125,0.7353,0.8212,0.3087
5410,0.495,0.5774,0.5748,0.6534,0.6994,0.6702,0.7854,0.7524,0.3163
5411,0.5301,0.6508,0.6192,0.7238,0.7624,0.7441,0.8451,0.8325,0.3212
5412,0.5323,0.5911,0.6188,0.6719,0.7104,0.7354,0.7914,0.8251,0.3137
5413,0.5771,0.5461,0.6525,0.6337,0.6762,0.7319,0.7615,0.8168,0.3073
5414,0.4667,0.6513,0.6002,0.7183,0.752,0.7629,0.8224,0.8974,0.3304
5415,0.4564,0.5753,0.5558,0.6508,0.6837,0.6726,0.7493,0.7743,0.3207
5416,0.5001,0.6289,0.6032,0.7172,0.7583,0.7344,0.8465,0.8377,0.3244
5417,0.4876,0.5695,0.5762,0.6354,0.6703,0.6778,0.7434,0.7603,0.3136
5418,0.4858,0.5719,0.6122,0.6184,0.6475,0.7793,0.7093,0.9074,0.3099
5419,0.5631,0.5945,0.6325,0.6559,0.6887,0.7035,0.7583,0.7795,0.3096
5420,0.5974,0.5841,0.6995,0.6443,0.6724,0.8074,0.73,0.9162,0.3121
5421,0.5505,0.5597,0.6284,0.6397,0.6844,0.7086,0.7726,0.7933,0.3142
5422,0.4965,0.5413,0.6114,0.6548,0.7123,0.7497,0.8256,0.87,0.3155
5423,0.5943,0.5604,0.6965,0.6395,0.6778,0.8108,0.7527,0.9264,0.3113
5424,0.4571,0.63,0.564,0.705,0.7414,0.6956,0.8106,0.8011,0.3164
5425,0.52,0.5879,0.6197,0.6644,0.7074,0.7241,0.7915,0.826,0.3151
5426,0.5545,0.5212,0.6715,0.6,0.6415,0.8134,0.7314,0.9322,0.304
5427,0.4888,0.5337,0.5908,0.627,0.673,0.6991,0.7653,0.8031,0.314
5428,0.5389,0.5407,0.6252,0.6303,0.6772,0.7262,0.7549,0.8174,0.3155
5429,0.4652,0.5859,0.5587,0.6894,0.7434,0.6686,0.8507,0.7555,0.3077
5430,0.4672,0.5559,0.5977,0.6436,0.6849,0.7777,0.7667,0.9028,0.3186
5431,0.5833,0.5365,0.6858,0.6459,0.6976,0.8174,0.7948,0.9217,0.3185
5432,0.5188,0.5926,0.6299,0.6711,0.71,0.7752,0.7879,0.8842,0.3119
5433,0.4252,0.6197,0.5217,0.6908,0.7297,0.6421,0.7973,0.7384,0.3144
5434,0.5844,0.5431,0.6844,0.6176,0.6629,0.8037,0.7548,0.9115,0.3123
5435,0.5464,0.6116,0.6451,0.6648,0.6891,0.7601,0.7403,0.8591,0.3208
5436,0.4912,0.5905,0.6269,0.6453,0.6675,0.782,0.7204,0.9151,0.3248
5437,0.4585,0.6495,0.551,0.7222,0.7625,0.6605,0.8479,0.7508,0.3182
5438,0.4913,0.5994,0.6114,0.6994,0.754,0.7622,0.8455,0.8816,0.3158
5439,0.4668,0.5855,0.5772,0.6426,0.67,0.7181,0.7246,0.8288,0.3198
5440,0.4652,0.5561,0.5768,0.6134,0.65,0.7135,0.7261,0.8238,0.3153
5441,0.5174,0.6401,0.5996,0.7206,0.7626,0.6984,0.8485,0.7927,0.3155
5442,0.5376,0.5287,0.6375,0.6067,0.6451,0.7661,0.7164,0.8755,0.3241
5443,0.543,0.6345,0.6204,0.6932,0.7224,0.7095,0.7825,0.7929,0.3183
5444,0.4711,0.511,0.5755,0.5874,0.628,0.7083,0.7172,0.8126,0.3107
5445,0.4556,0.5544,0.5722,0.6233,0.657,0.7163,0.7376,0.8268,0.3152
5446,0.5216,0.5233,0.6002,0.6011,0.6428,0.6769,0.7448,0.7597,0.317
5447,0.4711,0.5581,0.57,0.6632,0.7111,0.6826,0.8112,0.7819,0.3138
5448,0.4497,0.5759,0.5626,0.6341,0.6665,0.6999,0.7503,0.8145,0.321
5449,0.5735,0.563,0.666,0.6253,0.6581,0.7824,0.7197,0.8896,0.3238
5450,0.4862,0.5879,0.6003,0.6642,0.6999,0.7387,0.7659,0.8531,0.3084
5451,0.5159,0.6383,0.6084,0.7216,0.7641,0.71,0.84,0.8036,0.3206
5452,0.4808,0.537,0.6059,0.6362,0.6875,0.7676,0.7928,0.8857,0.3216
5453,0.5756,0.595,0.6412,0.6539,0.68,0.7111,0.73,0.7859,0.3145
5454,0.5966,0.6561,0.7006,0.7355,0.7747,0.8245,0.8503,0.9304,0.3218
5455,0.5415,0.546,0.6333,0.6301,0.6694,0.74,0.7407,0.8334,0.3122
5456,0.5719,0.5537,0.6534,0.6581,0.7069,0.7487,0.8098,0.8361,0.3061
5457,0.5,0.573,0.5802,0.6658,0.7136,0.6733,0.8135,0.7615,0.3113
5458,0.4644,0.6182,0.569,0.7131,0.7619,0.7066,0.8434,0.8104,0.3085
5459,0.587,0.6193,0.6752,0.6766,0.7068,0.7782,0.757,0.875,0.3217
5460,0.5141,0.5844,0.6274,0.6897,0.7358,0.7648,0.8292,0.884,0.3136
5461,0.5457,0.5111,0.648,0.5891,0.6295,0.7893,0.7129,0.902,0.3256
5462,0.5683,0.6311,0.6335,0.6932,0.721,0.7048,0.7675,0.7778,0.3222
5463,0.49,0.6239,0.5819,0.702,0.7398,0.6967,0.8151,0.7922,0.3272
5464,0.4901,0.5662,0.6167,0.6527,0.6925,0.7662,0.7624,0.8893,0.3142
5465,0.488,0.5007,0.6116,0.5783,0.6212,0.7641,0.6956,0.8849,0.3085
5466,0.54,0.5345,0.6057,0.6273,0.6726,0.6824,0.7585,0.7514,0.312
5467,0.5012,0.5058,0.6187,0.5919,0.6349,0.762,0.723,0.8692,0.31
5468,0.6089,0.5915,0.7107,0.6869,0.7397,0.8237,0.8476,0.9319,0.3167
5469,0.4803,0.5757,0.5825,0.6494,0.6818,0.712,0.746,0.8122,0.3235
5470,0.4938,0.5839,0.6149,0.6499,0.6896,0.7632,0.7698,0.8843,0.3134
5471,0.5249,0.593,0.6175,0.674,0.7103,0.73,0.7823,0.8274,0.3192
5472,0.5698,0.6056,0.6382,0.675,0.7139,0.7095,0.7906,0.7807,0.3139
5473,0.5036,0.5744,0.6198,0.6679,0.7231,0.7526,0.8274,0.8589,0.3118
5474,0.4723,0.5995,0.6095,0.6716,0.7163,0.776,0.8026,0.9149,0.3142
5475,0.5643,0.5338,0.6707,0.6102,0.6447,0.7944,0.7112,0.9119,0.3043
5476,0.5289,0.5968,0.6247,0.6692,0.7046,0.7399,0.7736,0.8392,0.3226
5477,0.5624,0.6196,0.6314,0.6981,0.7428,0.71,0.8189,0.7863,0.3213
5478,0.479,0.5472,0.5836,0.6492,0.695,0.6998,0.7958,0.8088,0.3042
5479,0.5403,0.5202,0.6531,0.5927,0.6268,0.7958,0.6903,0.9002,0.318
5480,0.4959,0.6076,0.5997,0.6517,0.6723,0.713,0.7141,0.8201,0.3267
5481,0.4658,0.587,0.6005,0.6853,0.7261,0.7696,0.8154,0.9009,0.3176
5482,0.4974,0.5749,0.5925,0.6618,0.7076,0.7033,0.7845,0.8033,0.3213
5483,0.444,0.6027,0.547,0.6594,0.6892,0.6678,0.7472,0.7696,0.3225
5484,0.4859,0.5941,0.5897,0.6923,0.742,0.7067,0.8462,0.817,0.3251
5485,0.4462,0.609,0.5611,0.7099,0.7593,0.7104,0.8577,0.8175,0.3151
5486,0.4399,0.4974,0.534,0.5639,0.6018,0.651,0.6775,0.7475,0.3112
5487,0.5164,0.6163,0.615,0.6962,0.7325,0.7396,0.8061,0.8411,0.319
5488,0.5763,0.5597,0.6775,0.6271,0.6633,0.7957,0.729,0.9083,0.316
5489,0.4664,0.5918,0.5897,0.6861,0.7349,0.745,0.8277,0.8587,0.3269
5490,0.5382,0.5996,0.6426,0.6857,0.7285,0.7676,0.8128,0.8672,0.3145
5491,0.5098,0.6383,0.6206,0.7259,0.7685,0.7705,0.8586,0.8864,0.3167
5492,0.5029,0.5453,0.6035,0.6175,0.652,0.7283,0.7308,0.8241,0.3062
5493,0.5638,0.5362,0.6645,0.6114,0.6465,0.7718,0.7193,0.884,0.3223
5494,0.4679,0.5433,0.6054,0.6454,0.696,0.7825,0.7947,0.9232,0.3086
5495,0.4436,0.585,0.5532,0.6444,0.6731,0.6863,0.7271,0.7938,0.3221
5496,0.4797,0.5822,0.6035,0.6769,0.7267,0.7673,0.816,0.8935,0.3168
5497,0.5016,0.5947,0.593,0.6846,0.7249,0.6926,0.8031,0.782,0.3227
5498,0.5912,0.5794,0.6787,0.6834,0.7335,0.7884,0.8351,0.8766,0.3119
5499,0.505,0.5238,0.6103,0.6185,0.6682,0.7344,0.76,0.8438,0.3227
5500,0.5464,0.5403,0.6213,0.6175,0.655,0.7026,0.7251,0.7886,0.3141
5501,0.4783,0.6421,0.6044,0.7124,0.7459,0.7768,0.8213,0.9044,0.3183
5502,0.4938,0.5724,0.621,0.6565,0.6971,0.7785,0.7947,0.9019,0.31
5503,0.4561,0.6328,0.5737,0.7009,0.7373,0.7175,0.8147,0.8316,0.3228
5504,0.4855,0.6036,0.5856,0.6837,0.7288,0.7098,0.8176,0.8055,0.3172
5505,0.5781,0.5445,0.6585,0.6083,0.6361,0.742,0.6863,0.8296,0.3171
5506,0.5943,0.6439,0.6791,0.7288,0.7708,0.7714,0.8503,0.8657,0.3123
5507,0.505,0.5615,0.5853,0.6281,0.6647,0.6769,0.7383,0.7555,0.3142
5508,0.5374,0.6376,0.6336,0.7296,0.7716,0.747,0.8562,0.8447,0.3232
5509,0.5378,0.5564,0.6462,0.656,0.7028,0.7805,0.8017,0.8927,0.3169
5510,0.4542,0.602,0.5501,0.6737,0.7062,0.6645,0.7603,0.7566,0.3224
5511,0.5478,0.5639,0.6156,0.6638,0.7125,0.6985,0.8091,0.7797,0.3231
5512,0.5126,0.528,0.6329,0.6183,0.666,0.7937,0.7535,0.9158,0.3139
5513,0.448,0.5119,0.5451,0.6016,0.6494,0.6727,0.7343,0.7606,0.3171
5514,0.5264,0.5317,0.6478,0.5973,0.6321,0.7872,0.6951,0.9154,0.3145
5515,0.5053,0.5573,0.6233,0.6418,0.6825,0.7666,0.7671,0.8793,0.3116
5516,0.5478,0.6554,0.6488,0.7281,0.7659,0.7673,0.8359,0.8792,0.3172
5517,0.476,0.5645,0.5636,0.6247,0.6551,0.6802,0.7123,0.7701,0.32
5518,0.5404,0.5796,0.6307,0.6566,0.6915,0.7416,0.7685,0.8469,0.3128
5519,0.4993,0.5686,0.6001,0.6366,0.6703,0.7225,0.7387,0.8271,0.3201
5520,0.4967,0.5305,0.62,0.6092,0.6513,0.7794,0.7385,0.8989,0.3099
5521,0.4793,0.6128,0.5609,0.6892,0.7231,0.6664,0.7896,0.745,0.3183
5522,0.5241,0.5745,0.6028,0.6562,0.7076,0.6851,0.804,0.7658,0.3125
5523,0.5376,0.5636,0.6185,0.6348,0.6695,0.7072,0.7439,0.7871,0.3079
5524,0.5018,0.5399,0.6216,0.6312,0.6838,0.7594,0.7861,0.8761,0.3096
5525,0.5862,0.5243,0.6633,0.6121,0.6565,0.7555,0.7428,0.8376,0.3164
5526,0.5512,0.5518,0.6524,0.6351,0.6874,0.7858,0.7914,0.8992,0.3202
5527,0.5463,0.5852,0.667,0.656,0.6894,0.8109,0.7689,0.926,0.3131
5528,0.5063,0.5679,0.63,0.6363,0.6775,0.7773,0.76,0.9008,0.3183
5529,0.5526,0.6446,0.6277,0.7176,0.7563,0.7095,0.831,0.7903,0.324
5530,0.5444,0.5442,0.6587,0.6319,0.6783,0.792,0.7704,0.9043,0.3223
5531,0.453,0.6461,0.5687,0.7135,0.7503,0.7155,0.8202,0.8272,0.3195
5532,0.5,0.5455,0.5932,0.6297,0.6689,0.7012,0.7496,0.8011,0.3137
5533,0.5202,0.5375,0.596,0.6067,0.6474,0.6841,0.7321,0.7653,0.3068
5534,0.5419,0.6101,0.6196,0.7044,0.7483,0.7057,0.8416,0.7879,0.3194
5535,0.5,0.597,0.5989,0.6927,0.7415,0.7192,0.8406,0.8267,0.3204
5536,0.559,0.6512,0.6718,0.736,0.7738,0.809,0.8443,0.9225,0.3191
5537,0.522,0.5576,0.6055,0.6616,0.7126,0.6915,0.8252,0.7748,0.3058
5538,0.4609,0.543,0.5799,0.6162,0.6528,0.7276,0.7265,0.8485,0.3175
5539,0.5947,0.5484,0.6917,0.6172,0.6542,0.8118,0.7242,0.9132,0.3295
5540,0.5025,0.5017,0.6032,0.5901,0.6327,0.7215,0.7217,0.8197,0.3044
5541,0.4439,0.6289,0.543,0.7086,0.746,0.6701,0.8238,0.7716,0.3188
5542,0.5757,0.6067,0.6811,0.679,0.7146,0.8136,0.7921,0.919,0.3197
5543,0.5807,0.5541,0.6864,0.631,0.6662,0.8041,0.7269,0.9168,0.3125
5544,0.462,0.6204,0.57,0.6764,0.6995,0.7062,0.7453,0.814,0.3236
5545,0.5117,0.6181,0.5992,0.7153,0.7605,0.7026,0.8511,0.7911,0.3186
5546,0.4821,0.593,0.5986,0.6589,0.686,0.7453,0.7436,0.8632,0.3149
5547,0.5421,0.5489,0.6388,0.6567,0.714,0.7547,0.8256,0.8548,0.3192
5548,0.5434,0.5998,0.6173,0.6577,0.6848,0.6946,0.7412,0.7685,0.3101
5549,0.5612,0.5557,0.6359,0.6542,0.7057,0.7227,0.8075,0.8025,0.3127
5550,0.4758,0.6438,0.5676,0.7203,0.762,0.6647,0.8424,0.7537,0.3331
5551,0.4457,0.5908,0.5679,0.6816,0.7296,0.7223,0.827,0.8445,0.3191
5552,0.54,0.602,0.6489,0.6949,0.7419,0.788,0.8353,0.8972,0.31
5553,0.5509,0.5507,0.6455,0.6558,0.7071,0.755,0.8168,0.8507,0.3152
5554,0.4855,0.599,0.6047,0.6545,0.6831,0.7499,0.7323,0.8732,0.3283
5555,0.5111,0.6155,0.6147,0.7057,0.7503,0.7337,0.8371,0.8324,0.314
5556,0.4849,0.5775,0.5963,0.6431,0.6784,0.7297,0.7627,0.841,0.3137
5557,0.5502,0.6155,0.6415,0.6898,0.7319,0.7417,0.8146,0.8428,0.3306
5558,0.5832,0.5621,0.6864,0.6645,0.7125,0.8092,0.8116,0.9242,0.3188
5559,0.5246,0.5798,0.6341,0.6668,0.7106,0.7604,0.803,0.8665,0.314
5560,0.4673,0.5494,0.5858,0.6515,0.7008,0.7346,0.8054,0.8528,0.309
5561,0.5223,0.5503,0.6296,0.6609,0.7183,0.7599,0.8245,0.8687,0.3026
5562,0.4808,0.5718,0.6055,0.6691,0.714,0.7603,0.808,0.8836,0.306
5563,0.4638,0.573,0.5598,0.6283,0.6583,0.6748,0.7267,0.7669,0.3195
5564,0.4733,0.5201,0.5664,0.5952,0.6321,0.689,0.7012,0.7837,0.3137
5565,0.5977,0.5297,0.7027,0.604,0.6407,0.8231,0.7099,0.9312,0.3188
5566,0.4598,0.6441,0.5761,0.722,0.7633,0.7222,0.8465,0.8332,0.325
5567,0.444,0.5848,0.5653,0.6672,0.7057,0.7149,0.7741,0.8309,0.3193
5568,0.5296,0.5984,0.6123,0.6887,0.7307,0.7002,0.8172,0.7841,0.3173
5569,0.5132,0.5584,0.6138,0.6162,0.6491,0.729,0.7234,0.8289,0.3124
5570,0.5054,0.5826,0.6189,0.6431,0.6704,0.7513,0.7279,0.8582,0.3084
5571,0.527,0.5948,0.6079,0.6823,0.7242,0.707,0.8058,0.7956,0.3117
5572,0.5526,0.5942,0.6658,0.6785,0.7253,0.8002,0.8145,0.9112,0.3202
5573,0.5175,0.5696,0.6253,0.6665,0.7175,0.7604,0.8097,0.8757,0.3113
5574,0.523,0.5522,0.6024,0.6527,0.7084,0.6954,0.8228,0.7781,0.309
5575,0.4727,0.6081,0.5954,0.6926,0.734,0.7491,0.8295,0.8714,0.3121
5576,0.5428,0.6121,0.6183,0.6811,0.7176,0.7054,0.7922,0.7841,0.3243
5577,0.4747,0.5199,0.5628,0.6123,0.6572,0.6689,0.7404,0.7561,0.3067
5578,0.5695,0.6117,0.6533,0.6815,0.7161,0.7466,0.7827,0.8306,0.3188
5579,0.4658,0.6398,0.5952,0.7287,0.7694,0.7477,0.8591,0.8775,0.324
5580,0.5927,0.6158,0.6726,0.6942,0.7328,0.7697,0.8058,0.8616,0.317
5581,0.5098,0.5955,0.5996,0.6469,0.6729,0.7083,0.7217,0.8012,0.3201
5582,0.5207,0.6247,0.633,0.6885,0.7191,0.7669,0.7813,0.8889,0.3283
5583,0.4717,0.5778,0.6093,0.6277,0.6512,0.7777,0.7041,0.9055,0.3191
5584,0.5096,0.5588,0.5922,0.6537,0.7082,0.6723,0.8166,0.754,0.3122
5585,0.608,0.6637,0.7018,0.7394,0.7786,0.827,0.8533,0.9277,0.3239
5586,0.5562,0.5589,0.6527,0.6587,0.7101,0.7769,0.8202,0.88,0.3125
5587,0.5722,0.6254,0.6591,0.6795,0.7079,0.7615,0.7656,0.8573,0.3133
5588,0.5585,0.5731,0.6549,0.6692,0.7132,0.774,0.8052,0.8752,0.3191
5589,0.434,0.5693,0.5514,0.6715,0.7191,0.7165,0.825,0.8278,0.3124
5590,0.5731,0.5496,0.6847,0.6142,0.6467,0.82,0.7079,0.9296,0.3152
5591,0.5833,0.5956,0.6857,0.6575,0.6904,0.7938,0.7634,0.8968,0.3126
5592,0.5681,0.5194,0.6415,0.597,0.633,0.7296,0.709,0.8124,0.3167
5593,0.5216,0.5919,0.6466,0.6509,0.6855,0.8013,0.754,0.9221,0.3176
5594,0.5244,0.6446,0.6414,0.7274,0.7728,0.773,0.8676,0.8856,0.3275
5595,0.4997,0.5119,0.5915,0.6022,0.6437,0.6976,0.7219,0.7913,0.3109
5596,0.5294,0.6113,0.6456,0.6995,0.7449,0.784,0.8321,0.91,0.3108
5597,0.5775,0.5464,0.6448,0.662,0.7178,0.7099,0.8313,0.7827,0.3197
5598,0.5541,0.5871,0.6485,0.6777,0.7224,0.7606,0.8134,0.8617,0.3168
5599,0.5722,0.5876,0.6492,0.6493,0.6785,0.7408,0.7304,0.8222,0.3203
5600,0.4328,0.6448,0.5337,0.7153,0.7507,0.6562,0.8241,0.7538,0.3145
5601,0.441,0.5997,0.5489,0.6662,0.6991,0.6898,0.7665,0.79,0.3138
5602,0.5083,0.5052,0.5966,0.5973,0.6421,0.6895,0.7237,0.7815,0.3075
5603,0.5257,0.5781,0.6013,0.6423,0.6765,0.6755,0.7447,0.7607,0.3093
5604,0.5196,0.5086,0.6367,0.6078,0.6572,0.7904,0.7467,0.9086,0.3062
5605,0.5921,0.5268,0.6865,0.6338,0.6858,0.7961,0.7938,0.9015,0.3139
5606,0.4809,0.5478,0.5775,0.6444,0.692,0.6794,0.7799,0.7729,0.318
5607,0.4345,0.6055,0.5335,0.6889,0.738,0.651,0.8223,0.7456,0.3118
5608,0.4698,0.5558,0.5856,0.6429,0.6881,0.7389,0.7828,0.8592,0.3183
5609,0.4458,0.5356,0.566,0.6126,0.6478,0.7289,0.7236,0.8483,0.322
5610,0.431,0.6309,0.5342,0.7085,0.7524,0.6748,0.8436,0.7783,0.3147
5611,0.5018,0.5617,0.5811,0.6611,0.7077,0.6759,0.8037,0.7555,0.3162
5612,0.5041,0.5491,0.6271,0.6547,0.7046,0.7846,0.817,0.9135,0.3235
5613,0.5068,0.5393,0.6035,0.6304,0.6761,0.7234,0.7723,0.8234,0.3108
5614,0.4499,0.4867,0.5506,0.5732,0.6127,0.6741,0.6921,0.7721,0.317
5615,0.5283,0.5994,0.6417,0.6467,0.6696,0.77,0.7234,0.8738,0.3192
5616,0.5055,0.5027,0.6345,0.5802,0.6197,0.7949,0.7066,0.92,0.3155
5617,0.5297,0.525,0.6187,0.5967,0.6333,0.7266,0.7064,0.8214,0.3085
5618,0.5138,0.6367,0.6145,0.7227,0.7631,0.7447,0.8478,0.8528,0.3217
5619,0.4938,0.596,0.6139,0.6695,0.7054,0.7744,0.7894,0.8967,0.3163
5620,0.5806,0.5962,0.662,0.6434,0.668,0.747,0.7162,0.8324,0.3268
5621,0.5684,0.5786,0.6704,0.6576,0.7014,0.7903,0.791,0.8896,0.3133
5622,0.4468,0.6083,0.567,0.6835,0.7229,0.7211,0.804,0.8444,0.3125
5623,0.5769,0.5041,0.6902,0.5843,0.6262,0.8219,0.7031,0.9311,0.3123
5624,0.4571,0.501,0.5802,0.581,0.6205,0.7456,0.6935,0.8742,0.3249
5625,0.5162,0.6031,0.6041,0.6609,0.6926,0.7294,0.7608,0.8289,0.3094
5626,0.5501,0.5988,0.6224,0.698,0.7479,0.6994,0.8445,0.7742,0.3089
5627,0.5569,0.5259,0.6455,0.6446,0.6985,0.7587,0.8056,0.8548,0.3144
5628,0.5526,0.5245,0.622,0.6041,0.6463,0.6977,0.7311,0.7719,0.3064
5629,0.5065,0.5642,0.5885,0.6297,0.6584,0.6887,0.7154,0.7741,0.3141
5630,0.4653,0.5524,0.5861,0.638,0.6814,0.7339,0.7758,0.8556,0.3154
5631,0.4976,0.5315,0.6224,0.6184,0.6627,0.7759,0.7507,0.8946,0.3138
5632,0.4821,0.5455,0.5889,0.6184,0.6538,0.7261,0.7257,0.8305,0.3104
5633,0.4541,0.5263,0.5708,0.6112,0.6571,0.72,0.7488,0.8297,0.3168
5634,0.4555,0.6187,0.5539,0.686,0.7153,0.6758,0.7807,0.7744,0.3089
5635,0.4323,0.6229,0.5408,0.7072,0.7504,0.6763,0.833,0.7837,0.3185
5636,0.5611,0.5148,0.6331,0.608,0.6493,0.7172,0.7333,0.7941,0.3108
5637,0.5576,0.5773,0.6568,0.6353,0.6669,0.7832,0.7291,0.8826,0.3123
5638,0.5393,0.5306,0.6146,0.6121,0.6513,0.6901,0.7358,0.7715,0.3075
5639,0.5049,0.5754,0.6051,0.6447,0.6769,0.7295,0.7492,0.8355,0.3081
5640,0.513,0.5788,0.6092,0.6585,0.7046,0.7208,0.7969,0.8243,0.321
5641,0.55,0.5508,0.6227,0.6455,0.6899,0.7003,0.7719,0.776,0.3182
5642,0.5326,0.5551,0.6382,0.648,0.6979,0.7724,0.7982,0.8795,0.3143
5643,0.5799,0.5363,0.6639,0.6103,0.6433,0.7642,0.7115,0.8557,0.309
5644,0.5395,0.5732,0.6213,0.646,0.6846,0.7173,0.7694,0.8001,0.3157
5645,0.4743,0.5468,0.5635,0.6465,0.6948,0.6749,0.7905,0.7636,0.3058
5646,0.4528,0.6315,0.5669,0.6943,0.7294,0.7002,0.807,0.8164,0.3269
5647,0.5628,0.5943,0.6637,0.6558,0.6894,0.7811,0.7571,0.8866,0.3082
5648,0.5575,0.5751,0.6568,0.6441,0.6783,0.7851,0.7527,0.8858,0.3198
5649,0.441,0.5671,0.5522,0.6519,0.6982,0.6956,0.7931,0.8073,0.3113
5650,0.5399,0.6072,0.6536,0.6536,0.6773,0.7988,0.7259,0.9091,0.3136
