Iteration,Proportion Test,Proportion Test (Sim Results Clintool1025.Csv),Proportion Test (Sim Results Clintool2150.Csv),Proportion Test (Sim Results Clintool5175.Csv),Proportion Test (Sim Results Clintool76100.Csv)
266,0.3232,0.316,0.3558,0.3945,0.4177
267,0.3091,0.328,0.3899,0.3928,0.4448
268,0.3144,0.344,0.3659,0.3751,0.427
269,0.3221,0.3321,0.3689,0.4049,0.4464
270,0.3135,0.3307,0.3477,0.3859,0.3975
271,0.3259,0.3255,0.3632,0.4042,0.4279
272,0.3104,0.3356,0.3788,0.4018,0.4292
273,0.3191,0.3381,0.351,0.3935,0.4292
274,0.3167,0.3461,0.3441,0.3981,0.4126
275,0.3172,0.3406,0.3478,0.4048,0.4268
276,0.3171,0.3401,0.3769,0.3904,0.4465
277,0.3245,0.3377,0.3482,0.4156,0.4321
278,0.315,0.3346,0.3737,0.3839,0.4277
279,0.312,0.3391,0.3705,0.3755,0.4294
280,0.3185,0.3408,0.3558,0.4016,0.3977
281,0.3208,0.3333,0.3636,0.4167,0.4277
282,0.3095,0.3417,0.3846,0.3638,0.4009
283,0.3207,0.332,0.3735,0.4027,0.431
284,0.3283,0.3238,0.3574,0.4193,0.427
285,0.3202,0.3451,0.3461,0.3947,0.4161
286,0.3107,0.318,0.3578,0.3959,0.4347
287,0.312,0.3206,0.3776,0.379,0.4181
288,0.3114,0.3418,0.3518,0.3774,0.4224
289,0.317,0.3383,0.3664,0.401,0.4204
290,0.3053,0.3295,0.3749,0.3864,0.4335
291,0.3193,0.336,0.3634,0.405,0.431
292,0.3087,0.3337,0.3569,0.3697,0.4064
293,0.3062,0.3455,0.3819,0.3745,0.4085
294,0.3146,0.3418,0.3553,0.3953,0.4211
295,0.3175,0.3393,0.3748,0.3883,0.4212
296,0.3121,0.3315,0.355,0.3935,0.4334
297,0.3124,0.3287,0.3865,0.3784,0.3966
298,0.3182,0.3471,0.3775,0.4009,0.407
299,0.3181,0.3299,0.3616,0.3866,0.4299
300,0.3129,0.3354,0.3468,0.4,0.4227
301,0.3143,0.3498,0.3518,0.3892,0.4152
302,0.324,0.3377,0.3741,0.3842,0.4123
303,0.3102,0.3286,0.3873,0.3845,0.4183
304,0.3144,0.3285,0.3474,0.3942,0.415
305,0.3107,0.3338,0.3779,0.3968,0.412
306,0.3167,0.3417,0.3571,0.3973,0.4228
307,0.3139,0.3292,0.3689,0.3815,0.4137
308,0.3126,0.3305,0.3819,0.3992,0.391
309,0.3152,0.3435,0.3604,0.3947,0.4504
310,0.3113,0.3179,0.3553,0.3897,0.4029
311,0.3132,0.3312,0.3691,0.4027,0.4228
312,0.313,0.3378,0.3541,0.4,0.4476
313,0.3062,0.3279,0.3544,0.393,0.4066
314,0.3255,0.3357,0.3728,0.4107,0.4179
315,0.3138,0.3257,0.3685,0.4049,0.4163
316,0.3183,0.3403,0.3872,0.4016,0.41
317,0.3166,0.3391,0.3612,0.3941,0.4293
318,0.3193,0.3321,0.3619,0.3891,0.4187
319,0.3068,0.3273,0.3726,0.3823,0.4253
320,0.3115,0.3378,0.3652,0.401,0.4343
321,0.3161,0.3297,0.3573,0.3947,0.4405
322,0.3058,0.3311,0.3572,0.3677,0.4483
323,0.326,0.3388,0.3634,0.4128,0.4392
324,0.3098,0.3369,0.3624,0.3899,0.4333
325,0.316,0.3308,0.36,0.3885,0.4261
326,0.3142,0.3462,0.3528,0.38,0.4355
327,0.3084,0.3406,0.3807,0.3877,0.4219
328,0.3153,0.349,0.3622,0.4006,0.4218
329,0.3101,0.3353,0.3786,0.3784,0.422
330,0.3146,0.3251,0.3555,0.4078,0.4228
331,0.3161,0.3422,0.3584,0.4089,0.421
332,0.3155,0.3441,0.3641,0.379,0.4149
333,0.3088,0.3217,0.3456,0.3817,0.4148
334,0.3147,0.3251,0.3815,0.3779,0.4272
335,0.3172,0.3483,0.3657,0.4107,0.4182
336,0.3133,0.3309,0.3702,0.3919,0.4358
337,0.3214,0.342,0.3763,0.3994,0.4336
338,0.3083,0.3359,0.3493,0.398,0.3949
339,0.3242,0.325,0.3742,0.4059,0.4065
340,0.3204,0.3317,0.3632,0.3842,0.4085
341,0.3191,0.3285,0.3871,0.4023,0.418
342,0.322,0.3438,0.3551,0.405,0.4058
343,0.3249,0.3368,0.3593,0.4081,0.4426
344,0.3157,0.3398,0.3687,0.3895,0.396
345,0.3238,0.3307,0.3433,0.4049,0.4284
346,0.3241,0.3258,0.3568,0.399,0.4235
347,0.3131,0.3362,0.341,0.3803,0.4273
348,0.314,0.3461,0.3492,0.3853,0.4303
349,0.3173,0.3386,0.3754,0.4023,0.4149
350,0.3158,0.3491,0.3574,0.39,0.414
351,0.3178,0.332,0.3626,0.3866,0.4521
352,0.317,0.3255,0.3314,0.3864,0.419
353,0.3101,0.3321,0.35,0.3963,0.4399
