Iteration,Proportion Test,Proportion Test (Sim Results Clintool1025.Csv),Proportion Test (Sim Results Clintool2150.Csv),Proportion Test (Sim Results Clintool5175.Csv),Proportion Test (Sim Results Clintool76100.Csv)
5672,0.309,0.3232,0.3772,0.3771,0.43
5673,0.3152,0.3402,0.3436,0.395,0.4411
5674,0.3189,0.3339,0.3709,0.3996,0.4163
5675,0.3198,0.3267,0.3462,0.3814,0.4374
5676,0.3165,0.3438,0.3782,0.3871,0.4056
5677,0.3218,0.3323,0.3771,0.3901,0.4079
5678,0.3146,0.3287,0.3717,0.3891,0.3897
5679,0.3091,0.3179,0.3607,0.3862,0.4027
5680,0.3045,0.3373,0.3616,0.3678,0.4283
5681,0.3164,0.3421,0.3724,0.4059,0.4192
5682,0.3133,0.3329,0.385,0.3921,0.4518
5683,0.3153,0.3545,0.3777,0.4071,0.4261
5684,0.3031,0.3305,0.3757,0.3798,0.4214
5685,0.31,0.3314,0.3786,0.3902,0.4076
5686,0.3133,0.3133,0.3622,0.3787,0.4142
5687,0.3127,0.328,0.3497,0.3938,0.4379
5688,0.3231,0.3359,0.3653,0.4181,0.4328
5689,0.3182,0.349,0.3838,0.3931,0.4115
5690,0.3149,0.3195,0.355,0.4061,0.41
5691,0.3148,0.3422,0.3503,0.3908,0.435
5692,0.3119,0.3382,0.3743,0.3723,0.4134
5693,0.3131,0.3288,0.3657,0.3831,0.4264
5694,0.3201,0.3414,0.3759,0.3889,0.4234
5695,0.3172,0.3488,0.3669,0.4153,0.4284
5696,0.3222,0.3281,0.3404,0.3883,0.4332
5697,0.3181,0.3502,0.349,0.4039,0.4269
5698,0.3223,0.341,0.3616,0.4006,0.4255
5699,0.3112,0.3374,0.3501,0.3943,0.4286
5700,0.318,0.3472,0.3533,0.3929,0.4326
5701,0.3205,0.3437,0.351,0.4129,0.4287
5702,0.3047,0.3346,0.3729,0.3673,0.4084
5703,0.3257,0.3357,0.3697,0.414,0.4118
5704,0.3094,0.3365,0.34,0.3851,0.4035
5705,0.3118,0.3444,0.3495,0.3831,0.4291
5706,0.3134,0.3363,0.3599,0.3926,0.4132
5707,0.3197,0.319,0.3727,0.3985,0.4222
5708,0.3213,0.3394,0.3616,0.3994,0.4156
5709,0.3134,0.3329,0.3571,0.3802,0.4157
5710,0.3228,0.3405,0.3525,0.4108,0.4309
5711,0.3164,0.3402,0.3789,0.3918,0.435
5712,0.3128,0.3381,0.3742,0.4004,0.3879
5713,0.3099,0.3313,0.3563,0.3849,0.4186
5714,0.3219,0.3433,0.3711,0.394,0.4231
5715,0.3115,0.3209,0.3762,0.3845,0.4208
5716,0.3223,0.3387,0.3789,0.4169,0.4333
5717,0.3191,0.3287,0.3838,0.3861,0.4235
5718,0.3181,0.3344,0.3595,0.3934,0.4062
5719,0.3186,0.3378,0.3577,0.413,0.4399
5720,0.3221,0.3359,0.3799,0.4002,0.4277
5721,0.3119,0.3327,0.375,0.3754,0.4244
5722,0.3174,0.3286,0.3774,0.3991,0.4346
5723,0.3226,0.3135,0.3777,0.3941,0.4044
5724,0.3132,0.34,0.3487,0.3894,0.4261
5725,0.3279,0.33,0.3637,0.4235,0.4108
5726,0.315,0.3307,0.3741,0.3953,0.4147
5727,0.3321,0.3276,0.353,0.4117,0.4294
5728,0.3086,0.3373,0.3644,0.3801,0.428
5729,0.3217,0.3356,0.3635,0.3945,0.3981
5730,0.3081,0.3334,0.3804,0.3923,0.4355
5731,0.3286,0.3227,0.3648,0.4205,0.4227
5732,0.3182,0.3504,0.3543,0.4127,0.4232
5733,0.3245,0.3327,0.3645,0.4056,0.4296
5734,0.3133,0.3324,0.3713,0.3833,0.4059
5735,0.3201,0.3466,0.3505,0.3887,0.4219
5736,0.3139,0.3382,0.3651,0.3888,0.4225
5737,0.3153,0.3302,0.3623,0.3859,0.4002
5738,0.3181,0.3457,0.361,0.3818,0.4322
5739,0.3207,0.3422,0.3504,0.3915,0.4441
5740,0.3167,0.3337,0.3748,0.3839,0.4211
5741,0.3235,0.3134,0.3616,0.4201,0.419
5742,0.3178,0.3291,0.3579,0.3967,0.4454
5743,0.3181,0.3451,0.3503,0.3999,0.4184
5744,0.3109,0.3466,0.3636,0.3975,0.4234
5745,0.3224,0.349,0.3701,0.4171,0.4454
5746,0.3271,0.3373,0.3567,0.4173,0.4115
5747,0.3065,0.3461,0.3704,0.3791,0.4358
5748,0.3152,0.3386,0.3941,0.3961,0.4073
5749,0.3134,0.3379,0.3733,0.3941,0.4123
5750,0.3056,0.3211,0.377,0.3802,0.4144
5751,0.313,0.3361,0.3525,0.4094,0.4337
5752,0.3175,0.3325,0.3686,0.3969,0.4387
5753,0.3115,0.3298,0.3533,0.3919,0.4139
5754,0.3123,0.3409,0.3442,0.3936,0.4209
5755,0.3151,0.3371,0.3674,0.4038,0.4194
5756,0.3205,0.3444,0.3405,0.3933,0.4211
5757,0.3268,0.3414,0.3638,0.4071,0.4182
5758,0.3136,0.3427,0.3765,0.3859,0.4026
5759,0.3123,0.335,0.3676,0.3772,0.4328
5760,0.3049,0.3378,0.3629,0.3636,0.4005
5761,0.314,0.3455,0.3504,0.388,0.4281
5762,0.3161,0.3475,0.3915,0.3983,0.4134
5763,0.3252,0.3429,0.3611,0.3979,0.4256
5764,0.3099,0.3319,0.3455,0.3811,0.4102
5765,0.3124,0.3423,0.3616,0.3969,0.4188
5766,0.3133,0.334,0.3662,0.3888,0.4097
5767,0.3137,0.3293,0.3365,0.3967,0.4375
5768,0.3146,0.3162,0.3654,0.4055,0.4249
5769,0.3262,0.3386,0.3881,0.4175,0.441
5770,0.3066,0.3554,0.363,0.3919,0.4302
5771,0.3193,0.3463,0.3498,0.4102,0.4132
5772,0.3206,0.346,0.3492,0.4091,0.4233
5773,0.3106,0.3406,0.3474,0.397,0.4392
5774,0.3254,0.3296,0.3737,0.3993,0.4051
5775,0.3201,0.3338,0.3498,0.4049,0.4423
5776,0.3128,0.3371,0.3692,0.3946,0.4062
5777,0.321,0.3344,0.3555,0.4103,0.4144
5778,0.323,0.3325,0.365,0.421,0.4299
5779,0.3125,0.3374,0.3543,0.3891,0.414
5780,0.3052,0.342,0.3522,0.3748,0.4268
5781,0.321,0.3298,0.3792,0.4099,0.4337
5782,0.3104,0.3391,0.3658,0.3838,0.4231
5783,0.3119,0.3448,0.3546,0.3743,0.4077
5784,0.3108,0.3474,0.3695,0.3851,0.4244
5785,0.3242,0.3352,0.3678,0.4023,0.4383
5786,0.3181,0.3176,0.3612,0.4038,0.4307
5787,0.3256,0.3324,0.3559,0.4063,0.4211
5788,0.3157,0.3479,0.3368,0.3832,0.4338
5789,0.3188,0.3305,0.3532,0.3895,0.4074
5790,0.3097,0.3381,0.3645,0.3902,0.4114
5791,0.3152,0.3325,0.3565,0.3964,0.4139
5792,0.3212,0.3314,0.3606,0.4071,0.4197
5793,0.3103,0.3402,0.3633,0.3811,0.4337
5794,0.3162,0.3474,0.3586,0.3833,0.425
5795,0.3149,0.3228,0.3635,0.3922,0.4394
5796,0.3187,0.3375,0.3421,0.3887,0.4076
5797,0.3205,0.3409,0.3828,0.3883,0.439
5798,0.3185,0.3224,0.3777,0.39,0.4302
5799,0.3157,0.3343,0.3721,0.3823,0.4279
5800,0.3171,0.323,0.3458,0.3914,0.4089
5801,0.3162,0.3263,0.3483,0.4095,0.3977
5802,0.3172,0.341,0.3621,0.3957,0.4011
5803,0.3134,0.3382,0.3564,0.3993,0.4015
5804,0.3107,0.3328,0.3585,0.3891,0.4022
5805,0.3135,0.3407,0.3811,0.3869,0.3994
5806,0.3129,0.3301,0.3648,0.3908,0.4317
5807,0.31,0.323,0.3831,0.3926,0.4055
5808,0.3273,0.3236,0.3528,0.4197,0.4302
5809,0.3205,0.3363,0.3723,0.3883,0.4003
5810,0.3181,0.3402,0.3615,0.3995,0.4197
5811,0.308,0.3434,0.3447,0.3797,0.4113
5812,0.3173,0.3242,0.359,0.3897,0.4087
5813,0.3124,0.3523,0.3749,0.371,0.4308
5814,0.3055,0.337,0.3595,0.3857,0.4256
5815,0.3181,0.3286,0.351,0.4079,0.4103
5816,0.3176,0.3474,0.3719,0.3873,0.4145
5817,0.317,0.3388,0.3761,0.3862,0.4248
5818,0.3197,0.3404,0.3648,0.4033,0.4212
5819,0.3167,0.335,0.3566,0.4147,0.4168
5820,0.3087,0.3234,0.3729,0.3906,0.425
5821,0.3264,0.3384,0.3596,0.4054,0.4281
5822,0.3141,0.3332,0.3706,0.4138,0.4253
5823,0.3204,0.3341,0.3631,0.3933,0.3901
5824,0.3237,0.344,0.3823,0.41,0.4086
5825,0.3141,0.3103,0.3613,0.3752,0.4295
5826,0.3141,0.333,0.347,0.3814,0.441
5827,0.322,0.3176,0.3668,0.4015,0.4053
5828,0.3299,0.3463,0.3752,0.4208,0.4368
5829,0.3084,0.326,0.387,0.3746,0.414
5830,0.3204,0.3488,0.3496,0.4016,0.4379
5831,0.305,0.3354,0.3526,0.3801,0.4286
5832,0.3084,0.3439,0.3403,0.3776,0.4278
5833,0.3139,0.3325,0.3483,0.4038,0.4271
5834,0.3154,0.3288,0.3681,0.3932,0.4257
5835,0.3301,0.334,0.3796,0.423,0.4351
5836,0.3158,0.3269,0.3504,0.389,0.4102
5837,0.3096,0.3308,0.3699,0.4001,0.4184
5838,0.3206,0.3317,0.374,0.3978,0.4202
5839,0.3078,0.3471,0.357,0.391,0.4269
5840,0.3029,0.3367,0.3794,0.3716,0.4217
5841,0.3296,0.3427,0.3545,0.4186,0.4215
5842,0.3151,0.3394,0.3742,0.3786,0.4189
5843,0.3191,0.3346,0.3614,0.3901,0.4337
5844,0.3216,0.3502,0.39,0.4067,0.4114
5845,0.3137,0.3373,0.34,0.3811,0.4066
5846,0.317,0.3276,0.3855,0.3978,0.4246
5847,0.3032,0.3231,0.3552,0.3836,0.4018
5848,0.3156,0.3391,0.3692,0.3805,0.4241
5849,0.3099,0.3282,0.3677,0.3868,0.41
5850,0.3091,0.3423,0.3553,0.3795,0.4127
5851,0.3152,0.3286,0.3511,0.4025,0.426
5852,0.3124,0.3322,0.3625,0.3795,0.4061
5853,0.3244,0.3422,0.3831,0.4059,0.4351
5854,0.318,0.3347,0.3981,0.3904,0.4125
5855,0.31,0.3427,0.3437,0.3742,0.4171
5856,0.3132,0.3415,0.3511,0.388,0.4183
5857,0.3183,0.35,0.3564,0.3994,0.4208
5858,0.3155,0.3506,0.3808,0.3974,0.4302
5859,0.3139,0.3337,0.3552,0.4019,0.4204
5860,0.3225,0.333,0.3747,0.4012,0.4227
5861,0.3119,0.3216,0.3424,0.3916,0.428
5862,0.3193,0.3309,0.3409,0.3876,0.4049
5863,0.3141,0.3459,0.3659,0.3936,0.4223
5864,0.3158,0.337,0.3656,0.3965,0.4371
5865,0.3132,0.3374,0.37,0.3771,0.4446
5866,0.3157,0.3361,0.3721,0.3844,0.4109
5867,0.3182,0.35,0.3653,0.4045,0.4214
5868,0.3186,0.344,0.3735,0.4085,0.4432
5869,0.3151,0.339,0.3709,0.3851,0.4222
5870,0.3285,0.3327,0.3324,0.4031,0.4381
5871,0.3251,0.3303,0.3484,0.4106,0.4161
5872,0.3216,0.3356,0.3672,0.4083,0.4192
5873,0.3104,0.3406,0.3653,0.3918,0.4144
5874,0.3143,0.3301,0.3495,0.3917,0.4301
5875,0.3175,0.3411,0.3453,0.3879,0.427
5876,0.3118,0.3408,0.3698,0.3939,0.4212
5877,0.3197,0.3341,0.3817,0.3865,0.4325
5878,0.318,0.3309,0.3537,0.3892,0.421
5879,0.3109,0.3437,0.3477,0.3795,0.436
5880,0.316,0.345,0.3491,0.3987,0.4271
5881,0.3139,0.3383,0.3768,0.3846,0.4235
5882,0.3195,0.3343,0.346,0.4047,0.4063
5883,0.3102,0.3235,0.3576,0.3902,0.4264
5884,0.3106,0.3462,0.3681,0.3828,0.4399
5885,0.3135,0.3219,0.3752,0.3991,0.4171
5886,0.3166,0.3319,0.3702,0.3866,0.4328
5887,0.3204,0.3451,0.3764,0.3955,0.4207
5888,0.3147,0.3461,0.3477,0.3915,0.4069
5889,0.3219,0.336,0.3379,0.409,0.4392
5890,0.314,0.3359,0.3695,0.404,0.4301
5891,0.3141,0.328,0.3609,0.3999,0.4133
5892,0.326,0.3256,0.375,0.4033,0.4276
5893,0.3176,0.3256,0.3581,0.4036,0.4382
5894,0.318,0.3397,0.3483,0.3991,0.4226
5895,0.3218,0.3438,0.3592,0.3979,0.419
5896,0.3157,0.3313,0.3809,0.3932,0.4078
5897,0.319,0.3295,0.3752,0.3933,0.431
5898,0.3137,0.332,0.3514,0.4087,0.4236
5899,0.3072,0.343,0.3685,0.3714,0.4412
5900,0.3168,0.3448,0.366,0.3754,0.4158
5901,0.3203,0.3312,0.3501,0.3991,0.4021
5902,0.3191,0.333,0.3536,0.3979,0.4187
5903,0.3129,0.3376,0.3721,0.4067,0.4458
5904,0.3097,0.3395,0.3581,0.4007,0.4127
5905,0.3083,0.3349,0.358,0.4015,0.4184
5906,0.311,0.3434,0.3558,0.3903,0.4253
5907,0.3226,0.3241,0.3557,0.4077,0.4034
5908,0.3132,0.3423,0.3629,0.3846,0.4121
5909,0.3183,0.324,0.3625,0.3947,0.4407
5910,0.3106,0.3391,0.3426,0.4008,0.4228
5911,0.326,0.3329,0.3632,0.4208,0.4276
5912,0.3186,0.3344,0.3703,0.4002,0.4164
5913,0.3158,0.335,0.3487,0.3921,0.4003
5914,0.3092,0.3485,0.347,0.3832,0.4244
5915,0.318,0.3365,0.3674,0.397,0.4193
5916,0.3067,0.3394,0.3576,0.3828,0.4362
5917,0.3214,0.3444,0.3753,0.4139,0.4247
5918,0.3206,0.3496,0.3473,0.3825,0.4358
5919,0.301,0.3364,0.3404,0.3704,0.3963
5920,0.3085,0.3314,0.3543,0.3725,0.4162
5921,0.3224,0.3396,0.3724,0.4163,0.4404
5922,0.3149,0.3447,0.3558,0.3877,0.4297
5923,0.321,0.327,0.343,0.3998,0.4278
5924,0.3183,0.3374,0.3419,0.4096,0.386
5925,0.3252,0.3326,0.3487,0.4003,0.4142
5926,0.3159,0.3235,0.3526,0.3989,0.4297
5927,0.3149,0.3383,0.3629,0.3791,0.4136
5928,0.3239,0.3537,0.373,0.4188,0.425
5929,0.3015,0.3394,0.3578,0.3634,0.4193
5930,0.317,0.33,0.3646,0.4077,0.4223
5931,0.318,0.351,0.3623,0.3921,0.437
5932,0.3103,0.3314,0.3723,0.3829,0.4443
5933,0.3199,0.3282,0.3491,0.3909,0.4181
5934,0.3271,0.3315,0.3526,0.3969,0.4184
5935,0.3113,0.3464,0.3763,0.38,0.4291
5936,0.314,0.3301,0.3594,0.3992,0.4441
5937,0.3164,0.3405,0.349,0.3853,0.4245
5938,0.3158,0.3261,0.347,0.3783,0.4212
5939,0.3154,0.3407,0.3566,0.3996,0.405
5940,0.3156,0.3374,0.3762,0.3996,0.4296
5941,0.302,0.3364,0.3622,0.3707,0.4157
5942,0.32,0.3416,0.3652,0.4231,0.4153
5943,0.3154,0.3399,0.3594,0.4005,0.4134
5944,0.3213,0.333,0.3586,0.4014,0.445
5945,0.313,0.3269,0.3695,0.3986,0.4134
5946,0.3188,0.3439,0.3791,0.4143,0.4408
5947,0.3197,0.3372,0.3744,0.4023,0.4321
5948,0.3194,0.3289,0.3519,0.3954,0.4216
5949,0.3072,0.3415,0.3724,0.375,0.4298
5950,0.3269,0.3349,0.361,0.4228,0.4524
5951,0.3182,0.321,0.3645,0.4059,0.4239
5952,0.3146,0.336,0.3648,0.4086,0.4222
5953,0.3168,0.3376,0.3551,0.3823,0.4284
5954,0.323,0.3486,0.3614,0.4021,0.4062
5955,0.3179,0.3312,0.363,0.3879,0.4279
5956,0.3116,0.3378,0.3713,0.3971,0.4227
5957,0.3143,0.3372,0.3438,0.39,0.4074
5958,0.3013,0.3315,0.3578,0.3718,0.4112
5959,0.3133,0.3365,0.3786,0.3848,0.4316
5960,0.3122,0.348,0.3598,0.3829,0.4344
5961,0.3166,0.3405,0.351,0.3989,0.4369
5962,0.3217,0.3501,0.3627,0.3973,0.3998
5963,0.3148,0.3284,0.3769,0.3847,0.4328
5964,0.3231,0.341,0.3831,0.3994,0.4271
5965,0.3127,0.3426,0.3746,0.3953,0.4176
5966,0.3061,0.3235,0.3674,0.3804,0.4214
5967,0.311,0.3252,0.3667,0.3782,0.4332
5968,0.3127,0.3324,0.3583,0.3844,0.457
5969,0.3131,0.34,0.3625,0.3989,0.4224
5970,0.3242,0.3324,0.3587,0.397,0.4345
5971,0.313,0.3254,0.3756,0.384,0.4242
5972,0.3076,0.3386,0.3444,0.3818,0.4466
5973,0.315,0.345,0.3574,0.4002,0.418
5974,0.321,0.3287,0.3557,0.4001,0.4541
5975,0.312,0.3434,0.3499,0.3895,0.418
5976,0.3217,0.3431,0.3546,0.3853,0.4107
5977,0.3144,0.3239,0.3744,0.3846,0.427
5978,0.3192,0.3334,0.3594,0.3899,0.4001
5979,0.3104,0.3305,0.3557,0.3786,0.4234
5980,0.3131,0.342,0.3571,0.3728,0.4272
5981,0.3116,0.3379,0.3664,0.4016,0.4105
5982,0.3079,0.3355,0.3856,0.3908,0.4046
5983,0.3226,0.3357,0.349,0.4111,0.4145
5984,0.3198,0.3405,0.3831,0.4107,0.4252
5985,0.3091,0.3437,0.3481,0.3922,0.4334
5986,0.3148,0.3231,0.3604,0.4094,0.4342
5987,0.3151,0.3385,0.3697,0.3935,0.419
5988,0.3128,0.3421,0.3543,0.3751,0.4221
5989,0.3192,0.3372,0.3685,0.385,0.4322
5990,0.3132,0.3508,0.38,0.3986,0.4206
5991,0.3136,0.3468,0.3731,0.3834,0.417
5992,0.3105,0.3242,0.3831,0.3814,0.4093
5993,0.3187,0.3308,0.3473,0.3919,0.4079
5994,0.3135,0.3448,0.3766,0.3986,0.4284
5995,0.3217,0.3308,0.3651,0.4145,0.4239
5996,0.3224,0.346,0.3457,0.4116,0.4172
5997,0.3216,0.3388,0.3608,0.3803,0.4358
5998,0.3129,0.3458,0.3518,0.3944,0.4171
5999,0.3214,0.3362,0.3791,0.4114,0.4409
6000,0.3129,0.3313,0.3617,0.3931,0.4044
6001,0.3059,0.3341,0.3485,0.3901,0.4256
6002,0.312,0.3367,0.3544,0.3833,0.4285
6003,0.3211,0.3294,0.3697,0.4031,0.4247
6004,0.3056,0.3419,0.3681,0.3846,0.4103
6005,0.3212,0.3332,0.3591,0.397,0.4575
6006,0.3198,0.3383,0.3716,0.3936,0.4065
6007,0.3172,0.3384,0.3444,0.3889,0.4208
6008,0.3202,0.3431,0.3406,0.4057,0.4252
6009,0.3133,0.3373,0.3715,0.3864,0.4346
6010,0.3101,0.3416,0.3553,0.4016,0.418
6011,0.3203,0.3424,0.3519,0.4015,0.4309
6012,0.3272,0.3334,0.3722,0.3927,0.4128
6013,0.3088,0.332,0.3708,0.3628,0.4118
6014,0.3039,0.345,0.3778,0.383,0.4186
6015,0.3192,0.3276,0.3459,0.4082,0.435
6016,0.312,0.3288,0.3397,0.3901,0.4254
6017,0.3119,0.3392,0.3568,0.396,0.4341
6018,0.3117,0.3374,0.365,0.3881,0.4521
6019,0.3171,0.327,0.3699,0.403,0.3992
6020,0.3164,0.3466,0.3578,0.3793,0.4492
6021,0.3109,0.3411,0.3564,0.3914,0.4465
6022,0.3093,0.3359,0.3462,0.3759,0.4381
6023,0.3224,0.3499,0.3778,0.3959,0.445
6024,0.3173,0.3359,0.3576,0.3801,0.4398
6025,0.3174,0.3296,0.3387,0.4046,0.4167
6026,0.3283,0.334,0.343,0.4082,0.4209
6027,0.3228,0.3383,0.375,0.3912,0.4157
6028,0.3226,0.3346,0.3606,0.3992,0.4139
6029,0.3148,0.3296,0.3601,0.3759,0.4331
6030,0.304,0.3332,0.3385,0.3823,0.3991
6031,0.3291,0.351,0.3451,0.4199,0.4032
6032,0.3157,0.3328,0.3602,0.3879,0.4386
6033,0.3147,0.3346,0.3554,0.4071,0.4233
6034,0.3112,0.3304,0.3676,0.3853,0.4204
6035,0.3075,0.3471,0.3626,0.3821,0.4396
6036,0.3113,0.3361,0.365,0.3759,0.4075
6037,0.3174,0.3439,0.344,0.4064,0.4118
6038,0.3129,0.3353,0.3725,0.4015,0.4252
6039,0.3172,0.331,0.3441,0.3893,0.4148
6040,0.3213,0.3282,0.3693,0.4082,0.4147
6041,0.319,0.3372,0.3513,0.4103,0.4128
6042,0.3101,0.3347,0.3664,0.3916,0.4124
6043,0.3138,0.3354,0.3641,0.3947,0.4129
6044,0.3204,0.3362,0.3463,0.396,0.4287
6045,0.3198,0.3326,0.3558,0.3907,0.41
6046,0.3123,0.3318,0.3677,0.3764,0.4076
6047,0.3133,0.3341,0.3739,0.4001,0.4538
6048,0.3207,0.329,0.3704,0.3996,0.4329
6049,0.3157,0.3179,0.384,0.3886,0.4184
6050,0.3117,0.3311,0.3761,0.398,0.4041
6051,0.3219,0.3317,0.3801,0.3995,0.4438
6052,0.3231,0.3348,0.3492,0.4175,0.416
6053,0.3195,0.3364,0.3647,0.3926,0.424
6054,0.318,0.336,0.3655,0.3885,0.4326
6055,0.3214,0.3476,0.343,0.4093,0.4217
6056,0.3189,0.3364,0.3537,0.4077,0.4326
6057,0.3129,0.3427,0.3512,0.3791,0.398
6058,0.2977,0.3423,0.3553,0.3683,0.4157
6059,0.3201,0.3338,0.373,0.3953,0.4061
6060,0.3108,0.34,0.3548,0.3887,0.4266
6061,0.3137,0.3298,0.345,0.397,0.4145
6062,0.3232,0.328,0.3623,0.4123,0.4238
6063,0.3099,0.3407,0.357,0.3711,0.4152
6064,0.3239,0.3451,0.3485,0.3889,0.402
6065,0.3193,0.3279,0.3743,0.3906,0.44
6066,0.3127,0.3364,0.3389,0.3794,0.4098
6067,0.321,0.3479,0.3821,0.4109,0.4044
6068,0.3249,0.3273,0.3594,0.3915,0.4226
6069,0.3191,0.3368,0.3736,0.3974,0.4034
6070,0.3245,0.3233,0.3677,0.4005,0.4174
6071,0.322,0.3327,0.3477,0.4142,0.447
6072,0.3216,0.3425,0.3473,0.4167,0.4205
6073,0.3116,0.3355,0.3653,0.3725,0.4287
6074,0.3233,0.3205,0.3717,0.4048,0.437
6075,0.3122,0.3389,0.3593,0.3776,0.4106
6076,0.3142,0.3359,0.3472,0.392,0.4267
6077,0.3225,0.324,0.3582,0.4114,0.4259
6078,0.3117,0.353,0.3557,0.3952,0.4256
6079,0.3243,0.3412,0.366,0.421,0.4377
6080,0.3107,0.3245,0.3727,0.3817,0.4078
6081,0.3185,0.3346,0.3624,0.3972,0.4447
6082,0.3122,0.3366,0.3822,0.3819,0.4421
6083,0.3119,0.3384,0.3652,0.4014,0.4329
6084,0.3142,0.3328,0.3675,0.3853,0.4204
6085,0.325,0.3342,0.364,0.3964,0.4133
6086,0.3207,0.3376,0.3645,0.3951,0.4192
6087,0.3197,0.34,0.3566,0.3901,0.4065
6088,0.3166,0.3239,0.3819,0.4085,0.4216
6089,0.3261,0.3294,0.369,0.4042,0.4146
6090,0.3296,0.334,0.3679,0.4061,0.4228
6091,0.3087,0.3393,0.3664,0.3725,0.4165
6092,0.3096,0.3354,0.3591,0.3758,0.4052
6093,0.3153,0.3217,0.3619,0.3894,0.4208
6094,0.3236,0.3369,0.3704,0.3985,0.4235
6095,0.3249,0.3293,0.3508,0.3958,0.4259
6096,0.3169,0.3285,0.3539,0.3867,0.4229
6097,0.3233,0.3309,0.3695,0.4026,0.441
6098,0.3102,0.3389,0.3781,0.3712,0.4344
6099,0.3226,0.3436,0.3487,0.3906,0.448
6100,0.327,0.3296,0.3521,0.4032,0.4247
6101,0.3213,0.3293,0.3701,0.3903,0.4226
6102,0.3094,0.336,0.3644,0.3756,0.4262
6103,0.3143,0.326,0.3654,0.3937,0.4157
6104,0.3255,0.3267,0.3525,0.4189,0.4434
6105,0.3244,0.3496,0.365,0.4013,0.4195
6106,0.3188,0.3391,0.3709,0.4097,0.4104
6107,0.3084,0.3468,0.3644,0.3954,0.396
6108,0.3146,0.3358,0.3515,0.3858,0.421
6109,0.3145,0.3385,0.3529,0.4001,0.4233
6110,0.3114,0.3332,0.3683,0.3856,0.4319
6111,0.3157,0.3367,0.373,0.3967,0.4279
6112,0.3179,0.3329,0.3895,0.4105,0.418
6113,0.3185,0.3431,0.3512,0.4007,0.4044
6114,0.3014,0.3201,0.3675,0.3778,0.4356
6115,0.3156,0.3523,0.3682,0.3904,0.4288
6116,0.314,0.3328,0.3708,0.3869,0.4259
6117,0.3254,0.3515,0.3689,0.4039,0.407
6118,0.3034,0.3399,0.3476,0.3768,0.4313
6119,0.3115,0.3303,0.3682,0.3723,0.431
6120,0.309,0.3398,0.3721,0.3816,0.4247
6121,0.3152,0.3331,0.3553,0.3947,0.4152
6122,0.3107,0.3314,0.3577,0.3802,0.4289
6123,0.312,0.3316,0.3874,0.3752,0.4175
6124,0.3211,0.338,0.3674,0.4175,0.4336
6125,0.3151,0.3321,0.3554,0.403,0.4045
6126,0.3185,0.3326,0.3443,0.3944,0.4001
6127,0.3193,0.3394,0.356,0.3978,0.4195
6128,0.3193,0.3339,0.3439,0.4099,0.423
6129,0.3182,0.3327,0.3617,0.3873,0.4089
6130,0.3154,0.3251,0.3607,0.3947,0.4251
6131,0.3235,0.3373,0.348,0.4132,0.415
6132,0.3207,0.3399,0.3629,0.4034,0.4035
6133,0.3165,0.3435,0.3597,0.4011,0.4233
6134,0.3161,0.3348,0.3716,0.3855,0.4351
6135,0.3214,0.3414,0.3859,0.3931,0.4223
6136,0.3227,0.3478,0.3511,0.4192,0.4121
6137,0.3184,0.3238,0.3585,0.3964,0.4093
6138,0.3182,0.3321,0.3661,0.4064,0.4384
6139,0.3229,0.3255,0.3715,0.4119,0.4051
6140,0.3082,0.3274,0.3495,0.3889,0.4158
6141,0.3181,0.3469,0.376,0.3998,0.4188
6142,0.308,0.3311,0.3465,0.3859,0.4094
6143,0.311,0.333,0.3638,0.3874,0.4189
6144,0.3138,0.3376,0.3505,0.3777,0.4247
6145,0.3193,0.3434,0.3802,0.3878,0.443
6146,0.3161,0.3279,0.376,0.4059,0.4101
6147,0.3115,0.3318,0.3614,0.389,0.4194
6148,0.3245,0.3542,0.3723,0.3989,0.449
6149,0.3211,0.3401,0.3785,0.4038,0.3967
6150,0.3163,0.3222,0.3699,0.3817,0.4059
6151,0.3168,0.3337,0.3614,0.3791,0.4073
6152,0.3182,0.3255,0.3671,0.3947,0.4088
6153,0.3294,0.3243,0.3748,0.4023,0.4227
6154,0.3192,0.3415,0.3505,0.4176,0.4052
6155,0.3243,0.3407,0.3711,0.4008,0.4378
6156,0.311,0.3297,0.3844,0.3926,0.4111
6157,0.3166,0.3308,0.3522,0.399,0.4291
6158,0.3209,0.3317,0.3744,0.4009,0.4333
6159,0.3034,0.3225,0.3733,0.3957,0.4333
6160,0.3181,0.3293,0.3471,0.4076,0.4037
6161,0.3074,0.3354,0.3669,0.3713,0.4352
6162,0.316,0.3376,0.3469,0.3857,0.4144
6163,0.324,0.3328,0.3612,0.3853,0.4202
6164,0.3237,0.3496,0.3813,0.4053,0.432
6165,0.312,0.3386,0.3664,0.3938,0.4031
6166,0.3166,0.338,0.3805,0.3958,0.4152
6167,0.3204,0.3351,0.3511,0.4079,0.4016
6168,0.3242,0.3339,0.354,0.3938,0.4001
6169,0.3108,0.3449,0.3775,0.3735,0.4181
6170,0.3166,0.3235,0.3457,0.4073,0.4354
6171,0.3237,0.3522,0.3476,0.4164,0.4116
6172,0.31,0.3459,0.3543,0.3761,0.4426
6173,0.3198,0.3338,0.3622,0.4098,0.4212
6174,0.3186,0.3494,0.3695,0.391,0.4178
6175,0.3145,0.3506,0.3674,0.3944,0.4342
6176,0.3121,0.341,0.357,0.3961,0.4294
